Binary support only_best_or_tied,Binary support only_mean_acc,Classifier-head aggregation_best_or_tied,Classifier-head aggregation_mean_acc,Global client-size weight_best_or_tied,Global client-size weight_mean_acc,Global-feature mean_best_or_tied,Global-feature mean_mean_acc,LAMP-Merge_best_or_tied,LAMP-Merge_mean_acc,M1 only_best_or_tied,M1 only_mean_acc,No prevalence calibration_best_or_tied,No prevalence calibration_mean_acc,Shuffled-label prototype_best_or_tied,Shuffled-label prototype_mean_acc,Smoothed prevalence prior_best_or_tied,Smoothed prevalence prior_mean_acc,Support-only synthetic head_best_or_tied,Support-only synthetic head_mean_acc,Uniform client weight_best_or_tied,Uniform client weight_mean_acc,Uniform prevalence prior_best_or_tied,Uniform prevalence prior_mean_acc,avg+M2_best_or_tied,avg+M2_mean_acc,avg_best_or_tied,avg_mean_acc,client_average_cells,dataset
8,0.8188395206080094,0,0.18485498067491637,4,0.8187826821267336,0,0.08218032414173893,8,0.8188395206080094,8,0.8188395206080094,8,0.8188395206080094,0,0.24500633343077072,8,0.8188395206080094,0,0.11619409529377375,8,0.8188395206080094,8,0.8188395206080094,0,0.17134366169735946,0,0.17135833333333333,12,bloodmnist_224
12,0.4618149146451033,0,0.15977837675950882,12,0.4618149146451033,0,0.1087151841868823,12,0.4618149146451033,12,0.4618149146451033,12,0.4618149146451033,0,0.14420485175202158,12,0.4618149146451033,0,0.1069182389937107,12,0.4618149146451033,12,0.4618149146451033,0,0.15638414695018468,0,0.1564,12,chaoshengmnist_224
2,0.46192851205320035,5,0.5166943751731782,3,0.4622748683845941,0,0.03291770573566085,2,0.46192851205320035,2,0.46192851205320035,2,0.46192851205320035,0,0.09761706844001108,2,0.46192851205320035,0,0.07369077306733167,2,0.46192851205320035,2,0.46192851205320035,3,0.5042394014962593,0,0.5042222222222222,12,dermamnist_224
4,0.6248647625229904,0,0.16743752028562153,7,0.6249864762522991,0,0.10079587255220167,1,0.6248647625229904,1,0.6248647625229904,1,0.6248647625229904,0,0.11159796602834578,1,0.6248647625229904,0,0.0638692794547225,4,0.6248647625229904,1,0.6248647625229904,0,0.12858717407768042,0,0.12858055555555556,12,organcmnist_224
5,0.5743992548116259,0,0.16000465742733783,7,0.5744842213914378,0,0.09187719496997848,2,0.5743740795287187,2,0.5743740795287187,2,0.5743740795287187,0,0.12167214229069899,2,0.5743740795287187,0,0.06924776254673162,5,0.5743992548116259,2,0.5743740795287187,0,0.1413686542552522,0,0.1413638888888889,12,organsmnist_224
