module,parameter,symbol,value,task_type,dataset,model,num_clients,client_average_acc
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,convnext,7,0.4174902665468703
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,resnet,3,0.4788858939802336
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,resnet,5,0.46271338724168914
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,resnet,7,0.472596585804133
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,swin_tiny,3,0.47379454926624737
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,swin_tiny,5,0.4839772386942198
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,swin_tiny,7,0.4797843665768194
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,vit_t,3,0.46001796945193174
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,vit_t,5,0.4537286612758311
M1,prototype head scale,s,7.0,small,chaoshengmnist_224,vit_t,7,0.4498352800239593
M1,prototype head scale,s,7.0,small,dermamnist_224,convnext,3,0.6603491271820449
M1,prototype head scale,s,7.0,small,dermamnist_224,convnext,5,0.6610141313383209
M1,prototype head scale,s,7.0,small,dermamnist_224,convnext,7,0.6605153782211138
M1,prototype head scale,s,7.0,small,dermamnist_224,resnet,3,0.6688279301745635
M1,prototype head scale,s,7.0,small,dermamnist_224,resnet,5,0.6688279301745635
M1,prototype head scale,s,7.0,small,dermamnist_224,resnet,7,0.6688279301745635
M1,prototype head scale,s,7.0,small,dermamnist_224,swin_tiny,3,0.6701579384871156
M1,prototype head scale,s,7.0,small,dermamnist_224,swin_tiny,5,0.6703241895261846
M1,prototype head scale,s,7.0,small,dermamnist_224,swin_tiny,7,0.6709891936824605
M1,prototype head scale,s,7.0,small,dermamnist_224,vit_t,3,0.6817955112219451
M1,prototype head scale,s,7.0,small,dermamnist_224,vit_t,5,0.6826267664172901
M1,prototype head scale,s,7.0,small,dermamnist_224,vit_t,7,0.683458021612635
M1,prototype head scale,s,7.0,small,organcmnist_224,convnext,3,0.6583089905874716
M1,prototype head scale,s,7.0,small,organcmnist_224,convnext,5,0.6577409931840311
M1,prototype head scale,s,7.0,small,organcmnist_224,convnext,7,0.6571324245374878
M1,prototype head scale,s,7.0,small,organcmnist_224,resnet,3,0.41995293735800066
M1,prototype head scale,s,7.0,small,organcmnist_224,resnet,5,0.41958779617007463
M1,prototype head scale,s,7.0,small,organcmnist_224,resnet,7,0.4161392405063291
M1,prototype head scale,s,7.0,small,organcmnist_224,swin_tiny,3,0.6671129503407984
M1,prototype head scale,s,7.0,small,organcmnist_224,swin_tiny,5,0.6644758195391107
M1,prototype head scale,s,7.0,small,organcmnist_224,swin_tiny,7,0.6611895488477767
M1,prototype head scale,s,7.0,small,organcmnist_224,vit_t,3,0.5929892891918208
M1,prototype head scale,s,7.0,small,organcmnist_224,vit_t,5,0.5885264524505031
M1,prototype head scale,s,7.0,small,organcmnist_224,vit_t,7,0.5888915936384291
M1,prototype head scale,s,7.0,small,organsmnist_224,convnext,3,0.614402779351233
M1,prototype head scale,s,7.0,small,organsmnist_224,convnext,5,0.6142894905781504
M1,prototype head scale,s,7.0,small,organsmnist_224,convnext,7,0.613571995015294
M1,prototype head scale,s,7.0,small,organsmnist_224,resnet,3,0.3822363203806503
M1,prototype head scale,s,7.0,small,organsmnist_224,resnet,5,0.38397341490125
M1,prototype head scale,s,7.0,small,organsmnist_224,resnet,7,0.3797817302971942
M1,prototype head scale,s,7.0,small,organsmnist_224,swin_tiny,3,0.59325554170915
M1,prototype head scale,s,7.0,small,organsmnist_224,swin_tiny,5,0.5911408179449417
M1,prototype head scale,s,7.0,small,organsmnist_224,swin_tiny,7,0.5920093652052415
M1,prototype head scale,s,7.0,small,organsmnist_224,vit_t,3,0.5601752199690344
M1,prototype head scale,s,7.0,small,organsmnist_224,vit_t,5,0.561647974019108
M1,prototype head scale,s,7.0,small,organsmnist_224,vit_t,7,0.5621011291114384
