module,parameter,values,best_value,best_acc,worst_value,worst_acc,range
M1,prototype head scale,"10, 15, 20, 25, 30, 40",10,0.6778054862842893,40,0.6453865336658354,0.032418952618453845
M2,long-tail bias strength,"2, 3, 4, 5, 6, 7, 8, 10",8,0.6768079800498753,2,0.6374064837905237,0.03940149625935163
