task_type,dataset,model,num_clients,Binary support only,Classifier-head aggregation,Global client-size weight,Global-feature mean,LAMP-Merge,M1 only,No prevalence calibration,Shuffled-label prototype,Smoothed prevalence prior,Support-only synthetic head,Uniform client weight,Uniform prevalence prior,avg,avg+M2,best_value,best_methods
small,bloodmnist_224,convnext,3,0.8104842638604697,0.25850141284224887,0.814089447529962,0.09509889895741987,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.2562603527233752,0.8484848484848485,0.17831043554516224,0.8104842638604697,0.8484848484848485,0.1565,0.1564844587352626,0.8484848484848485,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,convnext,5,0.8176946311994544,0.256357790119848,0.8242229367631297,0.0764883562311215,0.8486797232777941,0.8486797232777941,0.8486797232777941,0.25674753970573905,0.8486797232777941,0.17831043554516224,0.8176946311994544,0.8486797232777941,0.11213333333333333,0.11215044334015395,0.8486797232777941,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,convnext,7,0.8177920685959271,0.2621065965117412,0.825781935106694,0.10718113612004286,0.8497515346389944,0.8497515346389944,0.8497515346389944,0.2570398518951573,0.8497515346389944,0.17831043554516224,0.8177920685959271,0.8497515346389944,0.13836666666666667,0.13836110299132806,0.8497515346389944,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,resnet,3,0.7568936958004482,0.18688492643476567,0.759914255091104,0.08252947481243302,0.8000584624378837,0.8000584624378837,0.8000584624378837,0.23336256455227516,0.8000584624378837,0.08798596901490792,0.7568936958004482,0.8000584624378837,0.3345,0.33450258209100653,0.8000584624378837,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,resnet,5,0.7608886290558317,0.15404852382344342,0.7585501315404852,0.08876546818669005,0.7993764006625743,0.7993764006625743,0.7993764006625743,0.23375231413816622,0.7993764006625743,0.08798596901490792,0.7608886290558317,0.7993764006625743,0.24673333333333333,0.2465166130760986,0.7993764006625743,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,resnet,7,0.7565039462145572,0.18795673779596608,0.7679041216018708,0.08671928286076196,0.7991815258696288,0.7991815258696288,0.7991815258696288,0.23365487674169347,0.7991815258696288,0.08798596901490792,0.7565039462145572,0.7991815258696288,0.2821666666666667,0.2820812627886583,0.7991815258696288,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,swin_tiny,3,0.7341907824222936,0.15044334015395108,0.7292214752021826,0.07950891552177726,0.7738478027867095,0.7738478027867095,0.7738478027867095,0.23950112053005942,0.7738478027867095,0.08652440806781643,0.7341907824222936,0.7738478027867095,0.1565,0.1564844587352626,0.7738478027867095,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,swin_tiny,5,0.7331189710610932,0.1532690246516613,0.7433498976907337,0.08136022605475982,0.7733606158043457,0.7733606158043457,0.7733606158043457,0.23862418396180454,0.7733606158043457,0.08652440806781643,0.7331189710610932,0.7733606158043457,0.11856666666666667,0.11858131150735651,0.7733606158043457,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,swin_tiny,7,0.7168469258501413,0.2026697846633538,0.7306830361492741,0.09607327292214753,0.7717041800643086,0.7717041800643086,0.7717041800643086,0.23881905875475007,0.7717041800643086,0.08652440806781643,0.7168469258501413,0.7717041800643086,0.1524,0.1523920880834064,0.7717041800643086,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,vit_t,3,0.8256844977102211,0.1414790996784566,0.8221767514372016,0.08954496735847219,0.8520900321543408,0.8520900321543408,0.8520900321543408,0.2494397349702816,0.8520900321543408,0.11195556854720842,0.8256844977102211,0.8520900321543408,0.13426666666666665,0.13446360713241742,0.8520900321543408,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,vit_t,5,0.827438370846731,0.14430478417616682,0.8264639968820033,0.08642697067134367,0.8506284712072494,0.8506284712072494,0.8506284712072494,0.24924486017733605,0.8506284712072494,0.11195556854720842,0.827438370846731,0.8506284712072494,0.10813333333333333,0.10815551008477053,0.8506284712072494,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,vit_t,7,0.8060995810191951,0.1757770632368703,0.8114586378251973,0.09558608593978368,0.8498489720354672,0.8498489720354672,0.8498489720354672,0.24875767319497222,0.8498489720354672,0.11195556854720842,0.8060995810191951,0.8498489720354672,0.11603333333333334,0.11595050180259184,0.8498489720354672,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,convnext,3,0.41569332135369874,0.17011081162024558,0.42407906558849956,0.1087151841868823,0.4306678646301288,0.4306678646301288,0.4306678646301288,0.14794848757112908,0.4306678646301288,0.1293800539083558,0.41569332135369874,0.4306678646301288,0.15063333333333334,0.15064390536088648,0.4306678646301288,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,convnext,5,0.3746630727762803,0.1958670260557053,0.40161725067385445,0.1087151841868823,0.4279724468403714,0.4279724468403714,0.4279724468403714,0.1509433962264151,0.4279724468403714,0.1293800539083558,0.3746630727762803,0.4279724468403714,0.15063333333333334,0.15064390536088648,0.4279724468403714,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,convnext,7,0.37616052710392334,0.1940700808625337,0.3647798742138365,0.1087151841868823,0.42407906558849956,0.42407906558849956,0.42407906558849956,0.14405510631925728,0.42407906558849956,0.1293800539083558,0.37616052710392334,0.42407906558849956,0.12516666666666668,0.12518718179095537,0.42407906558849956,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,resnet,3,0.46510931416591794,0.16771488469601678,0.469601677148847,0.1087151841868823,0.4806828391734052,0.4806828391734052,0.4806828391734052,0.132973944294699,0.4806828391734052,0.06828391734052111,0.46510931416591794,0.4806828391734052,0.2435,0.24348607367475292,0.4806828391734052,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,resnet,5,0.42048517520215634,0.13896376160527105,0.4369571728062294,0.1087151841868823,0.46750524109014674,0.46750524109014674,0.46750524109014674,0.12548667265648397,0.46750524109014674,0.06828391734052111,0.42048517520215634,0.46750524109014674,0.1581,0.15813117699910154,0.46750524109014674,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,resnet,7,0.4339622641509434,0.18298891883797544,0.4393530997304582,0.1087151841868823,0.47349505840071876,0.47349505840071876,0.47349505840071876,0.13267445342917042,0.47349505840071876,0.06828391734052111,0.4339622641509434,0.47349505840071876,0.15423333333333333,0.1542377957472297,0.47349505840071876,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,swin_tiny,3,0.44833782569631625,0.13596885294998504,0.4615154237795747,0.1087151841868823,0.477088948787062,0.477088948787062,0.477088948787062,0.14764899670560047,0.477088948787062,0.12309074573225516,0.44833782569631625,0.477088948787062,0.15273333333333333,0.1527403414195867,0.477088948787062,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,swin_tiny,5,0.3806528900868523,0.1707097933513028,0.45163222521713087,0.1087151841868823,0.48697214734950584,0.48697214734950584,0.48697214734950584,0.1509433962264151,0.48697214734950584,0.12309074573225516,0.3806528900868523,0.48697214734950584,0.12936666666666666,0.1293800539083558,0.48697214734950584,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,swin_tiny,7,0.4339622641509434,0.1515423779574723,0.42946990116801437,0.1087151841868823,0.4839772386942198,0.4839772386942198,0.4839772386942198,0.1518418688230009,0.4839772386942198,0.12309074573225516,0.4339622641509434,0.4839772386942198,0.14643333333333333,0.14645103324348607,0.4839772386942198,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,vit_t,3,0.4414495357891584,0.14495357891584307,0.44654088050314467,0.1087151841868823,0.4612159329140461,0.4612159329140461,0.4612159329140461,0.14375561545372867,0.4612159329140461,0.1069182389937107,0.4414495357891584,0.4612159329140461,0.14496666666666666,0.14495357891584307,0.4612159329140461,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,vit_t,5,0.4103024857741839,0.15663372267145853,0.4324648098233004,0.1087151841868823,0.45971847858640313,0.45971847858640313,0.45971847858640313,0.14016172506738545,0.45971847858640313,0.1069182389937107,0.4103024857741839,0.45971847858640313,0.13266666666666665,0.1323749625636418,0.45971847858640313,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,vit_t,7,0.4141958670260557,0.16172506738544476,0.41808924827792754,0.1087151841868823,0.4594189877208745,0.4594189877208745,0.4594189877208745,0.14135968852949984,0.4594189877208745,0.1069182389937107,0.4141958670260557,0.4594189877208745,0.18836666666666668,0.18837975441749027,0.4594189877208745,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,dermamnist_224,convnext,3,0.45270157938487116,0.6076475477971738,0.5905236907730673,0.6688279301745635,0.5968412302576891,0.44422277639235247,0.44422277639235247,0.17556109725685787,0.5956774729842061,0.10723192019950124,0.5918536990856192,0.44422277639235247,0.29656666666666665,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
small,dermamnist_224,convnext,5,0.371571072319202,0.45004156275976726,0.6019950124688279,0.6688279301745635,0.5876974231088944,0.4256026600166251,0.4256026600166251,0.18636741479634247,0.5875311720698254,0.10723192019950124,0.515211970074813,0.4256026600166251,0.4829333333333333,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
small,dermamnist_224,convnext,7,0.46550290939318373,0.5192019950124689,0.6073150457190357,0.6688279301745635,0.5941812136325851,0.43773898586866167,0.43773898586866167,0.18187863674147964,0.5923524522028263,0.10723192019950124,0.599002493765586,0.43773898586866167,0.6688,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
small,dermamnist_224,resnet,3,0.45835411471321696,0.6684954280964256,0.6746467165419784,0.6688279301745635,0.6754779717373234,0.44139650872817954,0.44139650872817954,0.5893599334995844,0.6756442227763924,0.22394014962593517,0.6746467165419784,0.44139650872817954,0.6290666666666667,0.6688279301745635,0.6756442227763924,Smoothed prevalence prior
small,dermamnist_224,resnet,5,0.3542809642560266,0.6684954280964256,0.6708229426433915,0.6688279301745635,0.6763092269326684,0.4357439733998338,0.4357439733998338,0.5810473815461347,0.6761429758935993,0.22394014962593517,0.6315876974231088,0.4357439733998338,0.47000000000000003,0.6688279301745635,0.6763092269326684,LAMP-Merge
small,dermamnist_224,resnet,7,0.47298420615128844,0.6688279301745635,0.6688279301745635,0.6688279301745635,0.6763092269326684,0.4432252701579385,0.4432252701579385,0.5785536159600998,0.6764754779717373,0.22394014962593517,0.6741479634247713,0.4432252701579385,0.6244333333333333,0.6688279301745635,0.6764754779717373,Smoothed prevalence prior
small,dermamnist_224,swin_tiny,3,0.47265170407315044,0.6157938487115545,0.6284289276807979,0.6688279301745635,0.6324189526184538,0.46899418121363257,0.46899418121363257,0.2372402327514547,0.6317539484621778,0.27630922693266835,0.629592684954281,0.46899418121363257,0.4568333333333333,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
small,dermamnist_224,swin_tiny,5,0.343308395677473,0.5524522028262676,0.6310889443059019,0.6688279301745635,0.6317539484621779,0.4653366583541147,0.4653366583541147,0.23225270157938485,0.6302576891105569,0.27630922693266835,0.4837905236907731,0.4653366583541147,0.4829333333333333,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
small,dermamnist_224,swin_tiny,7,0.5085619285120532,0.6671654197838736,0.6389027431421447,0.6688279301745635,0.6309226932668329,0.4741479634247714,0.4741479634247714,0.24389027431421448,0.630423940149626,0.27630922693266835,0.6365752285951787,0.4741479634247714,0.6688,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
small,dermamnist_224,vit_t,3,0.515211970074813,0.49010806317539485,0.5898586866167913,0.6688279301745635,0.5945137157107232,0.5188694929343308,0.5188694929343308,0.14812967581047382,0.5941812136325851,0.08428927680798005,0.5878636741479634,0.5188694929343308,0.4638333333333333,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
small,dermamnist_224,vit_t,5,0.45187032418952616,0.40748129675810474,0.5916874480465503,0.6688279301745635,0.5931837073981713,0.5122194513715711,0.5122194513715711,0.15045719035743974,0.5928512053200332,0.08428927680798005,0.5290108063175395,0.5122194513715711,0.4369,0.6688279301745635,0.6688279301745635,avg+M2;Global-feature mean
