Always-on calibration_best_or_tied,Always-on calibration_mean_acc,Client-balanced prior_best_or_tied,Client-balanced prior_mean_acc,LAMP-Merge_best_or_tied,LAMP-Merge_mean_acc,avg_best_or_tied,avg_mean_acc,client_average_cells,dataset
3,0.8056611127350677,6,0.8124573711390431,9,0.8180843807853454,0,0.17135833333333333,12,bloodmnist_224
8,0.4579714485374863,2,0.4476390136767495,4,0.4610661874812818,0,0.1564,12,chaoshengmnist_224
10,0.6239955666389582,0,0.4961069548351344,10,0.6239955666389582,2,0.5042222222222222,12,dermamnist_224
11,0.6304737368819647,1,0.6210273991128421,11,0.6304737368819647,0,0.12858055555555556,12,organcmnist_224
10,0.5767027931976385,2,0.5711988469720428,10,0.5767027931976385,0,0.1413638888888889,12,organsmnist_224
