ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,client_index,client_name,prior_weight_pi,diagnostic_weight_alpha_all,medical_weight_alpha_morph
full,small,bloodmnist_224,convnext,7,0.1,42,morphology,4,client_4.pt,0.14285714285714285,0.13924077153205872,0.12398036569356918
full,small,bloodmnist_224,convnext,7,0.1,42,morphology,5,client_5.pt,0.14285714285714285,0.12274184823036194,0.1374015510082245
full,small,bloodmnist_224,convnext,7,0.1,42,morphology,6,client_6.pt,0.14285714285714285,0.17859776318073273,0.2018648236989975
full,small,bloodmnist_224,resnet,3,0.0,42,avg,0,client_0.pt,0.3333333333333333,0.4452696144580841,0.458892822265625
full,small,bloodmnist_224,resnet,3,0.0,42,avg,1,client_1.pt,0.3333333333333333,0.40172120928764343,0.41353267431259155
full,small,bloodmnist_224,resnet,3,0.0,42,avg,2,client_2.pt,0.3333333333333333,0.15300914645195007,0.12757445871829987
full,small,bloodmnist_224,resnet,3,0.01,42,avg,0,client_0.pt,0.3333333333333333,0.4098595678806305,0.3631877899169922
full,small,bloodmnist_224,resnet,3,0.01,42,avg,1,client_1.pt,0.3333333333333333,0.25157925486564636,0.27584099769592285
full,small,bloodmnist_224,resnet,3,0.01,42,avg,2,client_2.pt,0.3333333333333333,0.33856120705604553,0.36097121238708496
full,small,bloodmnist_224,resnet,3,0.1,42,avg,0,client_0.pt,0.3333333333333333,0.4214814603328705,0.41338247060775757
full,small,bloodmnist_224,resnet,3,0.1,42,avg,1,client_1.pt,0.3333333333333333,0.22585223615169525,0.24308200180530548
full,small,bloodmnist_224,resnet,3,0.1,42,avg,2,client_2.pt,0.3333333333333333,0.35266637802124023,0.34353551268577576
full,small,bloodmnist_224,resnet,5,0.0,42,avg,0,client_0.pt,0.2,0.22412686049938202,0.23921672999858856
full,small,bloodmnist_224,resnet,5,0.0,42,avg,1,client_1.pt,0.2,0.17227381467819214,0.20462630689144135
full,small,bloodmnist_224,resnet,5,0.0,42,avg,2,client_2.pt,0.2,0.14007268846035004,0.12726669013500214
full,small,bloodmnist_224,resnet,5,0.0,42,avg,3,client_3.pt,0.2,0.2022399753332138,0.17721624672412872
full,small,bloodmnist_224,resnet,5,0.0,42,avg,4,client_4.pt,0.2,0.2612866759300232,0.2516740560531616
full,small,bloodmnist_224,resnet,5,0.01,42,consensus,0,client_0.pt,0.2,0.18429751694202423,0.1888660192489624
full,small,bloodmnist_224,resnet,5,0.01,42,consensus,1,client_1.pt,0.2,0.28175684809684753,0.2959659695625305
full,small,bloodmnist_224,resnet,5,0.01,42,consensus,2,client_2.pt,0.2,0.13310062885284424,0.1571318805217743
full,small,bloodmnist_224,resnet,5,0.01,42,consensus,3,client_3.pt,0.2,0.2047039270401001,0.1877957433462143
full,small,bloodmnist_224,resnet,5,0.01,42,consensus,4,client_4.pt,0.2,0.19614103436470032,0.1702403724193573
full,small,bloodmnist_224,resnet,5,0.1,42,avg,0,client_0.pt,0.2,0.31463444232940674,0.3512727618217468
full,small,bloodmnist_224,resnet,5,0.1,42,avg,1,client_1.pt,0.2,0.23524552583694458,0.22725418210029602
full,small,bloodmnist_224,resnet,5,0.1,42,avg,2,client_2.pt,0.2,0.1168757975101471,0.12068170309066772
full,small,bloodmnist_224,resnet,5,0.1,42,avg,3,client_3.pt,0.2,0.16623051464557648,0.1472521424293518
full,small,bloodmnist_224,resnet,5,0.1,42,avg,4,client_4.pt,0.2,0.16701370477676392,0.15353924036026
full,small,bloodmnist_224,resnet,7,0.0,42,avg,0,client_0.pt,0.14285714285714285,0.15824292600154877,0.16667255759239197
full,small,bloodmnist_224,resnet,7,0.0,42,avg,1,client_1.pt,0.14285714285714285,0.1039472222328186,0.09781812131404877
full,small,bloodmnist_224,resnet,7,0.0,42,avg,2,client_2.pt,0.14285714285714285,0.10040881484746933,0.08984865248203278
full,small,bloodmnist_224,resnet,7,0.0,42,avg,3,client_3.pt,0.14285714285714285,0.1441657990217209,0.12444433569908142
full,small,bloodmnist_224,resnet,7,0.0,42,avg,4,client_4.pt,0.14285714285714285,0.18743184208869934,0.17776493728160858
full,small,bloodmnist_224,resnet,7,0.0,42,avg,5,client_5.pt,0.14285714285714285,0.1800139993429184,0.19710953533649445
full,small,bloodmnist_224,resnet,7,0.0,42,avg,6,client_6.pt,0.14285714285714285,0.12578938901424408,0.14634189009666443
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,0,client_0.pt,0.14285714285714285,0.10301710665225983,0.11818977445363998
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,1,client_1.pt,0.14285714285714285,0.13020186126232147,0.11357852816581726
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,2,client_2.pt,0.14285714285714285,0.10590341687202454,0.09630405157804489
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,3,client_3.pt,0.14285714285714285,0.15762124955654144,0.1463906615972519
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,4,client_4.pt,0.14285714285714285,0.1380167007446289,0.13780784606933594
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,5,client_5.pt,0.14285714285714285,0.1427799016237259,0.12959639728069305
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,6,client_6.pt,0.14285714285714285,0.22245971858501434,0.2581327557563782
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,0,client_0.pt,0.14285714285714285,0.07507350295782089,0.06981394439935684
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,1,client_1.pt,0.14285714285714285,0.17082105576992035,0.16467368602752686
