ablation,cases,mean_acc,mean_abs_delta_all,mean_abs_delta_morph,mean_max_alpha_all,mean_max_alpha_morph,mean_entropy_alpha_all,mean_entropy_alpha_morph
avg_only,225,0.2226952988030719,,,,,,
full,225,0.3423550216091191,0.08251976465241043,0.09462977679530943,0.3683038197623359,0.39228522598743437,0.9229033263162922,0.9034066744529469
no_client_information,225,0.32173886078465747,0.0,0.0,0.22539682539682615,0.22539682539682615,1.0,1.0
no_fusion_selection,225,0.2226952988030719,0.08251976465241043,0.09462977679530943,0.3683038197623359,0.39228522598743437,0.9229033263162922,0.9034066744529469
