client_id,classes,sampled_num_samples,sampled_class_counts,best_val_acc,test_acc,test_bacc,test_collapse,effective_pred_classes,top_pred_class,test_pred_counts
0,"[0, 1]",8985,"{""0"": 4527, ""1"": 4458}",0.196400,0.192500,0.192500,0.630400,2,0,"[6304, 3696, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[2, 3]",8983,"{""2"": 4465, ""3"": 4518}",0.180200,0.174700,0.174700,0.527500,2,2,"[0, 0, 5275, 4725, 0, 0, 0, 0, 0, 0]"
2,"[4, 5]",9004,"{""4"": 4477, ""5"": 4527}",0.183000,0.182200,0.182200,0.578100,2,4,"[0, 0, 0, 0, 5781, 4219, 0, 0, 0, 0]"
3,"[6, 7]",9029,"{""6"": 4498, ""7"": 4531}",0.188400,0.193500,0.193500,0.552000,2,7,"[0, 0, 0, 0, 0, 0, 4480, 5520, 0, 0]"
4,"[8, 9]",8999,"{""8"": 4482, ""9"": 4517}",0.190600,0.188400,0.188400,0.594100,2,9,"[0, 0, 0, 0, 0, 0, 0, 0, 4059, 5941]"
