model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.192500,0.192500,0.067431,0.630400,2,0,0.928497,4.822103,0.000977,"[6304, 3696, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_1,test,0.174700,0.174700,0.058312,0.527500,2,2,0.900897,3.857021,0.000000,"[0, 0, 5275, 4725, 0, 0, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_2,test,0.182200,0.182200,0.061665,0.578100,2,4,0.885965,3.351271,0.000000,"[0, 0, 0, 0, 5781, 4219, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_3,test,0.193500,0.193500,0.064974,0.552000,2,7,0.933624,5.334713,0.001953,"[0, 0, 0, 0, 0, 0, 4480, 5520, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_4,test,0.188400,0.188400,0.064191,0.594100,2,9,0.904660,3.962984,0.000000,"[0, 0, 0, 0, 0, 0, 0, 0, 4059, 5941]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
avg,test,0.162100,0.162100,0.156868,0.242500,10,3,0.223046,0.324767,0.000000,"[705, 682, 1105, 2425, 540, 630, 964, 578, 1197, 1174]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
