module,x_symbol,x_value,curve_symbol,curve_value,task_type,dataset,model,num_clients,client_average_acc
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,organsmnist_224,vit_t,3,0.5464672784260413
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,organsmnist_224,vit_t,5,0.5472602998376195
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,organsmnist_224,vit_t,7,0.5497526528454364
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,convnext,3,0.8465361005553932
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,convnext,5,0.8468284127448115
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,convnext,7,0.8493617850531033
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,resnet,3,0.7992789632661015
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,resnet,5,0.7972327779401734
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,resnet,7,0.7949917178212998
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,swin_tiny,3,0.7733606158043457
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,swin_tiny,5,0.7673194972230342
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,swin_tiny,7,0.7655656240865244
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,vit_t,3,0.8500438468284127
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,vit_t,5,0.8508233460001948
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,bloodmnist_224,vit_t,7,0.8466335379518659
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,convnext,3,0.4333632824198862
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,convnext,5,0.4246780473195568
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,convnext,7,0.4195867026055705
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,resnet,3,0.4782869122491764
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,resnet,5,0.4498352800239593
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,resnet,7,0.46840371368673256
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,swin_tiny,3,0.47109913147648996
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,swin_tiny,5,0.475591494459419
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,swin_tiny,7,0.47109913147648996
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,vit_t,3,0.45612458820005986
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,vit_t,5,0.45013477088948783
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,chaoshengmnist_224,vit_t,7,0.4498352800239593
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,convnext,3,0.6094763092269326
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,convnext,5,0.6021612635078969
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,convnext,7,0.6078137988362428
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,resnet,3,0.6708229426433915
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,resnet,5,0.6708229426433915
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,resnet,7,0.6696591853699085
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,swin_tiny,3,0.6462177888611804
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,swin_tiny,5,0.6447215295095594
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,swin_tiny,7,0.6462177888611804
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,vit_t,3,0.6123025768911056
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,vit_t,5,0.6096425602660017
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,dermamnist_224,vit_t,7,0.6192851205320034
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,convnext,3,0.6462593313859136
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,convnext,5,0.6460564751703992
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,convnext,7,0.6467867575462513
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,resnet,3,0.5787893541058098
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,resnet,5,0.5727848101265822
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,resnet,7,0.5688493995456021
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,swin_tiny,3,0.6839500162284973
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,swin_tiny,5,0.6775397598182408
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,swin_tiny,7,0.6768094774423888
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,vit_t,3,0.5861327491074326
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,vit_t,5,0.578343070431678
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organcmnist_224,vit_t,7,0.5804933463161311
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,convnext,3,0.6062837506136475
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,convnext,5,0.6048487594879347
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,convnext,7,0.6071900607983082
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,resnet,3,0.5032287300328537
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,resnet,5,0.5030776783354103
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,resnet,7,0.4926928741361731
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,swin_tiny,3,0.6230127261055096
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,swin_tiny,5,0.6251274498697179
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,swin_tiny,7,0.6239567992145312
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,vit_t,3,0.5444658434349156
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,vit_t,5,0.5455232053170197
diagnostic prototype reconstruction,s,17.5,gamma,0.35,small,organsmnist_224,vit_t,7,0.547902269551754
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,convnext,3,0.8465361005553932
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,convnext,5,0.8468284127448115
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,convnext,7,0.8493617850531033
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,resnet,3,0.7992789632661015
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,resnet,5,0.7972327779401734
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,resnet,7,0.7949917178212998
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,swin_tiny,3,0.7733606158043457
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,swin_tiny,5,0.7673194972230342
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,swin_tiny,7,0.7655656240865244
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,vit_t,3,0.8500438468284127
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,vit_t,5,0.8508233460001948
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,bloodmnist_224,vit_t,7,0.8466335379518659
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,convnext,3,0.4300688828990716
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,convnext,5,0.42318059299191374
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,convnext,7,0.4162923030847559
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,resnet,3,0.4791853848457622
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,resnet,5,0.45073375262054505
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,resnet,7,0.469601677148847
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,swin_tiny,3,0.4719976040730758
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,swin_tiny,5,0.475591494459419
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,swin_tiny,7,0.4722970949386044
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,vit_t,3,0.4546271338724169
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,vit_t,5,0.44833782569631625
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,chaoshengmnist_224,vit_t,7,0.44833782569631625
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,convnext,3,0.6021612635078969
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,convnext,5,0.5876974231088944
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,convnext,7,0.597339983374896
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,resnet,3,0.6738154613466334
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,resnet,5,0.6734829592684954
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,resnet,7,0.6731504571903575
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,swin_tiny,3,0.6400665004156276
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,swin_tiny,5,0.6394014962593516
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,swin_tiny,7,0.6380714879467997
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,vit_t,3,0.600831255195345
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,vit_t,5,0.5973399833748961
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,dermamnist_224,vit_t,7,0.6081463009143807
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,convnext,3,0.6461781888997079
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,convnext,5,0.6460159039272964
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,convnext,7,0.6466244725738397
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,resnet,3,0.5916504381694255
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,resnet,5,0.5855241804608894
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,resnet,7,0.5826030509574813
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,swin_tiny,3,0.6827734501785134
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,swin_tiny,5,0.6763226225251542
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,swin_tiny,7,0.6761197663096398
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,vit_t,3,0.5858487504057124
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,vit_t,5,0.5782213567023694
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organcmnist_224,vit_t,7,0.5796819214540734
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,convnext,3,0.605037574109739
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,convnext,5,0.6032627166647785
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,convnext,7,0.6060194101431214
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,resnet,3,0.51882481779389
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,resnet,5,0.5191646841131378
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,resnet,7,0.5084400135946527
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,swin_tiny,3,0.6224085193157358
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,swin_tiny,5,0.6255050791133265
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,swin_tiny,7,0.6248631093991919
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,vit_t,3,0.5426532230655942
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,vit_t,5,0.5435595332502549
diagnostic prototype reconstruction,s,20.0,gamma,0.35,small,organsmnist_224,vit_t,7,0.5461274121067935
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,convnext,3,0.8465361005553932
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,convnext,5,0.8468284127448115
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,convnext,7,0.8493617850531033
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,resnet,3,0.7992789632661015
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,resnet,5,0.7972327779401734
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,resnet,7,0.7949917178212998
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,swin_tiny,3,0.7733606158043457
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,swin_tiny,5,0.7673194972230342
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,swin_tiny,7,0.7655656240865244
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,vit_t,3,0.8500438468284127
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,vit_t,5,0.8508233460001948
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,bloodmnist_224,vit_t,7,0.8466335379518659
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,convnext,3,0.4315663372267146
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,convnext,5,0.42437855645402817
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,convnext,7,0.4198861934710991
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,resnet,3,0.4779874213836478
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,resnet,5,0.45043426175501644
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,resnet,7,0.469601677148847
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,swin_tiny,3,0.4728960766696616
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,swin_tiny,5,0.4761904761904762
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,swin_tiny,7,0.4722970949386044
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,vit_t,3,0.4555256064690027
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,vit_t,5,0.4501347708894879
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,chaoshengmnist_224,vit_t,7,0.4495357891584307
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,convnext,3,0.5938487115544472
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,convnext,5,0.5782211138819617
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,convnext,7,0.5858686616791355
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,resnet,3,0.6768079800498753
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,resnet,5,0.6761429758935994
