module,x_symbol,x_value,curve_symbol,curve_value,root,raw_cells,raw_mean_acc,client_average_cells,client_average_mean_acc
long-tail prevalence calibration,lambda,6.0,tau,1.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_1p5_lambda_6p0,180,0.615420957966792,60,0.615420957966792
long-tail prevalence calibration,lambda,4.0,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_4p0,180,0.6198049784332748,60,0.6198049784332748
long-tail prevalence calibration,lambda,4.5,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_4p5,180,0.6205088251071126,60,0.6205088251071126
long-tail prevalence calibration,lambda,5.0,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_5p0,180,0.6209296643068226,60,0.6209296643068226
long-tail prevalence calibration,lambda,5.5,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_5p5,180,0.6211189185071737,60,0.6211189185071737
long-tail prevalence calibration,lambda,6.0,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_6p0,180,0.6207329200311656,60,0.6207329200311656
long-tail prevalence calibration,lambda,4.0,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_4p0,180,0.6198049784332748,60,0.6198049784332748
long-tail prevalence calibration,lambda,4.5,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_4p5,180,0.6205088251071126,60,0.6205088251071126
long-tail prevalence calibration,lambda,5.0,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_5p0,180,0.6209296643068226,60,0.6209296643068226
long-tail prevalence calibration,lambda,5.5,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_5p5,180,0.6211189185071737,60,0.6211189185071737
