status,task_type,dataset,model,clip_model,num_clients,beta,seed,method,merge_weight_mode,lamp_merge_ablation_mode,eval_json,merged_deleted,seconds,test_acc,test_loss,updated_at,error
OK,small,bloodmnist_224,resnet,,3,0.01,42,avg,equal,full,outputs/final_lamp_paper_tsne_rebuild_20260715/eval/small/bloodmnist_224/resnet/clients_3/beta_0p01/seed_42/avg/eval.json,False,20.68,0.3069277988892137,1.9025481410000067,2026-07-15T16:18:50,
OK,small,bloodmnist_224,resnet,,3,0.01,42,dare_linear,equal,full,outputs/final_lamp_paper_tsne_rebuild_20260715/eval/small/bloodmnist_224/resnet/clients_3/beta_0p01/seed_42/dare_linear/eval.json,False,22.13,0.33762057877813506,1.8873830165684624,2026-07-15T16:19:43,
OK,small,bloodmnist_224,resnet,,3,0.01,42,lamp_merge,equal,full,outputs/final_lamp_paper_tsne_rebuild_20260715/eval/small/bloodmnist_224/resnet/clients_3/beta_0p01/seed_42/lamp_merge/eval.json,False,22.82,0.799473838059047,0.6911174374970384,2026-07-15T16:20:20,
OK,small,bloodmnist_224,resnet,,3,0.01,42,ties,equal,full,outputs/final_lamp_paper_tsne_rebuild_20260715/eval/small/bloodmnist_224/resnet/clients_3/beta_0p01/seed_42/ties/eval.json,False,21.7,0.2797427652733119,2.67033370026926,2026-07-15T16:19:16,
