task_type,dataset,model,num_clients,Binary support only,Classifier-head aggregation,Global client-size weight,Global-feature mean,LAMP-Merge,M1 only,No prevalence calibration,Shuffled-label prototype,Smoothed prevalence prior,Support-only synthetic head,Uniform client weight,Uniform prevalence prior,avg,best_value,best_methods
small,bloodmnist_224,convnext,3,0.8104842638604697,0.25850141284224887,0.814089447529962,0.08174997564065088,0.8479976615024847,0.8479976615024847,0.8479976615024847,0.25596804053395694,0.8479976615024847,0.17831043554516224,0.8104842638604697,0.8479976615024847,0.1565,0.8479976615024847,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,convnext,5,0.8176946311994544,0.26142453473643185,0.8242229367631297,0.07590373185228491,0.8476079119165936,0.8476079119165936,0.8476079119165936,0.25655266491279355,0.8476079119165936,0.17831043554516224,0.8176946311994544,0.8476079119165936,0.11213333333333333,0.8476079119165936,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,convnext,7,0.8177920685959271,0.26337328266588717,0.825781935106694,0.08759621942901685,0.8487771606742668,0.8487771606742668,0.8487771606742668,0.2569424144986846,0.8487771606742668,0.17831043554516224,0.8177920685959271,0.8487771606742668,0.13836666666666667,0.8487771606742668,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,resnet,3,0.7568936958004482,0.1873721134171295,0.759914255091104,0.0770729806099581,0.7999610250414109,0.7999610250414109,0.7999610250414109,0.2332651271558024,0.7999610250414109,0.08798596901490792,0.7568936958004482,0.7999610250414109,0.3345,0.7999610250414109,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,resnet,5,0.7608886290558317,0.15083308973984214,0.7585501315404852,0.09168859008087303,0.7986943388872649,0.7986943388872649,0.7986943388872649,0.23365487674169347,0.7986943388872649,0.08798596901490792,0.7608886290558317,0.7986943388872649,0.24673333333333333,0.7986943388872649,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,resnet,7,0.7565039462145572,0.1884439247783299,0.7679041216018708,0.08447822274188833,0.7984020266978467,0.7984020266978467,0.7984020266978467,0.23375231413816622,0.7984020266978467,0.08798596901490792,0.7565039462145572,0.7984020266978467,0.2821666666666667,0.7984020266978467,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,swin_tiny,3,0.7341907824222936,0.15171002630809705,0.7292214752021826,0.09198090227029133,0.7730683036149274,0.7730683036149274,0.7730683036149274,0.2393062457371139,0.7730683036149274,0.08652440806781643,0.7341907824222936,0.7730683036149274,0.1565,0.7730683036149274,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,swin_tiny,5,0.7331189710610932,0.15278183766929748,0.7433498976907337,0.09461171197505602,0.7715093052713631,0.7715093052713631,0.7715093052713631,0.2393062457371139,0.7715093052713631,0.08652440806781643,0.7331189710610932,0.7715093052713631,0.11856666666666667,0.7715093052713631,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,swin_tiny,7,0.7168469258501413,0.19925947578680697,0.7306830361492741,0.1007502679528403,0.7701451817207444,0.7701451817207444,0.7701451817207444,0.23891649615122285,0.7701451817207444,0.08652440806781643,0.7168469258501413,0.7701451817207444,0.1524,0.7701451817207444,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,vit_t,3,0.8255870603137484,0.14167397447140212,0.8221767514372016,0.08301666179479684,0.8517002825684498,0.8517002825684498,0.8517002825684498,0.24973204715969988,0.8517002825684498,0.11195556854720842,0.8255870603137484,0.8517002825684498,0.13426666666666665,0.8517002825684498,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,vit_t,5,0.827438370846731,0.14410990938322127,0.8264639968820033,0.08058072688297768,0.8511156581896132,0.8511156581896132,0.8511156581896132,0.24934229757380882,0.8511156581896132,0.11195556854720842,0.827438370846731,0.8511156581896132,0.10813333333333333,0.8511156581896132,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,bloodmnist_224,vit_t,7,0.8060995810191951,0.1766539998051252,0.8114586378251973,0.08701159505018026,0.84994640943194,0.84994640943194,0.84994640943194,0.24807561141966286,0.84994640943194,0.11195556854720842,0.8060995810191951,0.84994640943194,0.11603333333333334,0.84994640943194,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,convnext,3,0.4141958670260557,0.16561844863731656,0.42407906558849956,0.1087151841868823,0.4285714285714286,0.4285714285714286,0.4279724468403714,0.14555256064690028,0.4279724468403714,0.1293800539083558,0.4141958670260557,0.4279724468403714,0.15063333333333334,0.4285714285714286,LAMP-Merge;M1 only
small,chaoshengmnist_224,convnext,5,0.3719676549865229,0.1958670260557053,0.40101826894279724,0.1087151841868823,0.4282719377059,0.4282719377059,0.42827193770589994,0.14705001497454326,0.42827193770589994,0.1293800539083558,0.3719676549865229,0.42827193770589994,0.15063333333333334,0.4282719377059,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,convnext,7,0.3755615453728661,0.1961665169212339,0.36298292902066487,0.1087151841868823,0.4171907756813417,0.4171907756813417,0.4171907756813417,0.13896376160527105,0.4171907756813417,0.1293800539083558,0.3755615453728661,0.4171907756813417,0.12516666666666668,0.4171907756813417,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,resnet,3,0.46600778676250376,0.16861335729260257,0.46870320455226117,0.1087151841868823,0.4809823300389338,0.4809823300389338,0.4803833483078766,0.13566936208445643,0.4803833483078766,0.06828391734052111,0.46600778676250376,0.4803833483078766,0.2435,0.4809823300389338,LAMP-Merge;M1 only
small,chaoshengmnist_224,resnet,5,0.42288110212638513,0.14255765199161424,0.43755615453728663,0.1087151841868823,0.46480982330038934,0.46480982330038934,0.4642108415693321,0.12518718179095537,0.4642108415693321,0.06828391734052111,0.42288110212638513,0.4642108415693321,0.1581,0.46480982330038934,LAMP-Merge;M1 only
small,chaoshengmnist_224,resnet,7,0.434261755016472,0.18298891883797544,0.440251572327044,0.1087151841868823,0.47259658580413294,0.47259658580413294,0.47139862234201857,0.1335729260257562,0.47139862234201857,0.06828391734052111,0.434261755016472,0.47139862234201857,0.15423333333333333,0.47259658580413294,LAMP-Merge;M1 only
small,chaoshengmnist_224,swin_tiny,3,0.44773884396525904,0.13387241689128482,0.46001796945193174,0.1087151841868823,0.472596585804133,0.472596585804133,0.472596585804133,0.1488469601677149,0.472596585804133,0.12309074573225516,0.44773884396525904,0.472596585804133,0.15273333333333333,0.472596585804133,LAMP-Merge;M1 only;No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,swin_tiny,5,0.37885594489368074,0.17041030248577418,0.45163222521713087,0.1087151841868823,0.4833782569631626,0.4833782569631626,0.48247978436657685,0.1542377957472297,0.48247978436657685,0.12309074573225516,0.37885594489368074,0.48247978436657685,0.12936666666666666,0.4833782569631626,LAMP-Merge;M1 only
small,chaoshengmnist_224,swin_tiny,7,0.43216531895777177,0.1518418688230009,0.42887091943695715,0.1087151841868823,0.4794848757112908,0.4794848757112908,0.4797843665768194,0.1509433962264151,0.4797843665768194,0.12309074573225516,0.43216531895777177,0.4797843665768194,0.14643333333333333,0.4797843665768194,No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,vit_t,3,0.44025157232704404,0.14465408805031446,0.44803833483078764,0.1087151841868823,0.4588200059898173,0.4588200059898173,0.4612159329140461,0.14495357891584307,0.4612159329140461,0.1069182389937107,0.44025157232704404,0.4612159329140461,0.14496666666666666,0.4612159329140461,No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,vit_t,5,0.41000299490865527,0.1569332135369871,0.4333632824198862,0.1087151841868823,0.4531296795447739,0.4531296795447739,0.45402815214135966,0.13596885294998504,0.45402815214135966,0.1069182389937107,0.41000299490865527,0.45402815214135966,0.13266666666666665,0.45402815214135966,No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,chaoshengmnist_224,vit_t,7,0.4144953578915843,0.16112608565438755,0.4192872117400419,0.1087151841868823,0.4495357891584307,0.4495357891584307,0.4507337526205451,0.13776579814315665,0.4507337526205451,0.1069182389937107,0.4144953578915843,0.4507337526205451,0.18836666666666668,0.4507337526205451,No prevalence calibration;Smoothed prevalence prior;Uniform prevalence prior
small,dermamnist_224,convnext,3,0.4541978387364921,0.6119700748129676,0.5958437240232751,0.6688279301745635,0.6036575228595179,0.4462177888611804,0.4458852867830424,0.17838736492103077,0.6026600166251039,0.1172069825436409,0.5975062344139651,0.4458852867830424,0.29656666666666665,0.6688279301745635,Global-feature mean
small,dermamnist_224,convnext,5,0.37223607647547796,0.4688279301745636,0.6091438071487947,0.6688279301745635,0.5935162094763092,0.42460515378221114,0.4247714048212801,0.1943474646716542,0.5921862011637573,0.1172069825436409,0.5226932668329177,0.4247714048212801,0.4829333333333333,0.6688279301745635,Global-feature mean
small,dermamnist_224,convnext,7,0.4661679135494597,0.5200332502078138,0.6121363258520366,0.6688279301745635,0.598836242726517,0.4410640066500416,0.4410640066500416,0.1886949293433084,0.598004987531172,0.1172069825436409,0.6059850374064838,0.4410640066500416,0.6688,0.6688279301745635,Global-feature mean
small,dermamnist_224,resnet,3,0.45852036575228594,0.6686616791354946,0.6734829592684954,0.6688279301745635,0.6733167082294265,0.44472152950955945,0.44488778054862843,0.6089775561097257,0.6733167082294265,0.27032418952618453,0.6741479634247715,0.44488778054862843,0.6290666666666667,0.6741479634247715,Uniform client weight
small,dermamnist_224,resnet,5,0.3547797173732336,0.6686616791354946,0.6699916874480466,0.6688279301745635,0.6736492103075644,0.4347464671654198,0.4347464671654198,0.601496259351621,0.6733167082294265,0.27032418952618453,0.6435577722360765,0.4347464671654198,0.47000000000000003,0.6736492103075644,LAMP-Merge
