row_type,task_type,dataset,model,clip_model,num_clients,beta,seed,client_id,public_val_accuracy,public_val_balanced_accuracy,public_val_macro_f1,public_val_loss,source_val_accuracy,source_val_balanced_accuracy,source_val_macro_f1,source_val_loss,source_test_accuracy,source_test_balanced_accuracy,source_test_macro_f1,source_test_loss,spearman_public_acc_source_test_acc,spearman_source_val_acc_source_test_acc
client_score,small,bloodmnist_224,resnet,,3,0,42,0,0.23046875,0.2195945945945946,0.10069444444444445,7.6825478076934814,0.36565420560747663,0.33931334622823983,0.24676528967950315,7.324995700444017,0.3612978661210172,0.33282888822295476,0.2403271302914312,7.453345215414672,,
client_score,small,bloodmnist_224,resnet,,3,0,42,1,0.193359375,0.19292521994134898,0.0897495361781076,4.254414796829224,0.30257009345794394,0.31584760990498695,0.1880132882090952,4.988310519779954,0.3054662379421222,0.32161977551321813,0.19469182870371518,4.998594121813112,,
client_score,small,bloodmnist_224,resnet,,3,0,42,2,0.13671875,0.125,0.03006872852233677,6.685002684593201,0.0911214953271028,0.12540064102564102,0.021565067167986743,7.924061302826783,0.09090909090909091,0.125,0.020833333333333336,7.946801857723893,,
setting_correlation,small,bloodmnist_224,resnet,,3,0,42,,,,,,,,,,,,,,1.0,1.0
client_score,small,bloodmnist_224,resnet,,3,0.01,42,0,0.12109375,0.125,0.028028933092224234,5.051158666610718,0.3282710280373832,0.24774774774774774,0.13575642080174172,5.5787634983241,0.32885121309558607,0.24793543543543545,0.13637136410881573,5.6216487399460595,,
client_score,small,bloodmnist_224,resnet,,3,0.01,42,1,0.2890625,0.2951048951048951,0.16502935884695075,2.3791149258613586,0.15245327102803738,0.23669286655966984,0.07992952205181672,3.441080449897552,0.14820228003507746,0.23302490035177828,0.07663174687846966,3.444208827014556,,
client_score,small,bloodmnist_224,resnet,,3,0.01,42,2,0.171875,0.1554054054054054,0.06990036301845987,5.325038909912109,0.286214953271028,0.2941728485686709,0.19063471089475084,6.509422195291965,0.2835428237357498,0.2905629475445993,0.18734120868061077,6.6365252430416,,
setting_correlation,small,bloodmnist_224,resnet,,3,0.01,42,,,,,,,,,,,,,,-1.0,1.0
client_score,small,bloodmnist_224,resnet,,3,0.1,42,0,0.390625,0.3745309616277358,0.2812923833386032,2.5525275468826294,0.3878504672897196,0.3520094280586309,0.3065837647595989,4.388094313790865,0.39988307512423266,0.36604895764814804,0.33027540405132333,4.398355269355406,,
client_score,small,bloodmnist_224,resnet,,3,0.1,42,1,0.251953125,0.24644015404884972,0.1448871894032024,3.3696882128715515,0.1360981308411215,0.17111886476640575,0.06703718499481884,5.963030734908915,0.14410990938322127,0.17842402261416346,0.07331492470067132,5.978541816057987,,
client_score,small,bloodmnist_224,resnet,,3,0.1,42,2,0.1171875,0.11998692240627724,0.034134364225263815,6.2078927755355835,0.29439252336448596,0.2445096099491238,0.12335672754053903,6.742856711984794,0.2993276819643379,0.24815963079362383,0.1251873033135214,6.813208032790349,,
setting_correlation,small,bloodmnist_224,resnet,,3,0.1,42,,,,,,,,,,,,,,0.5,1.0
client_score,small,dermamnist_224,resnet,,3,0,42,0,0.16015625,0.13945578231292516,0.04004884004884004,3.9632120728492737,0.023928215353938187,0.16438516438516437,0.029002606792073022,5.274871187219591,0.02144638403990025,0.15924220057579386,0.02649079332944902,5.405056115813981,,
client_score,small,dermamnist_224,resnet,,3,0,42,1,0.1484375,0.1450924608819346,0.06569476179748764,4.101472973823547,0.07477567298105683,0.16548451548451548,0.03626443100127311,6.625643637933854,0.06633416458852869,0.160124826629681,0.030654217686710956,6.646234846234024,,
client_score,small,dermamnist_224,resnet,,3,0,42,2,0.17578125,0.19035250463821893,0.08093874156888108,5.343934535980225,0.5712861415752741,0.19193101979987226,0.11946124405720304,2.6945897993276033,0.5770573566084788,0.210007971405796,0.12272474433019466,2.6418622480663574,,
setting_correlation,small,dermamnist_224,resnet,,3,0,42,,,,,,,,,,,,,,0.5,1.0
client_score,small,dermamnist_224,resnet,,3,0.01,42,0,0.181640625,0.16988416988416985,0.07968415448762536,3.641119062900543,0.04885343968095713,0.1987179487179487,0.027956000424433202,5.680392416500498,0.05187032418952618,0.20695893384791653,0.030332020874228476,5.782176547157497,,
client_score,small,dermamnist_224,resnet,,3,0.01,42,1,0.154296875,0.16953820877061812,0.08153767914866293,7.725557565689087,0.6839481555333998,0.3047842087654734,0.2439745273623974,2.7631618389460524,0.6812967581047381,0.3110735082500877,0.25200544996306157,2.725404666130085,,
client_score,small,dermamnist_224,resnet,,3,0.01,42,2,0.14453125,0.13909774436090225,0.03645320197044335,7.5300785303115845,0.10967098703888335,0.14285714285714285,0.028237710178410983,10.609852084371884,0.10972568578553615,0.14285714285714285,0.028263103802672145,10.60399602190812,,
setting_correlation,small,dermamnist_224,resnet,,3,0.01,42,,,,,,,,,,,,,,-0.5,1.0
