dataset,task_type,backbone,method,num_clients,beta,merged_accuracy,best_client_accuracy_proxy,delta_accuracy,best_client_id,best_client_val_acc,source
bloodmnist,small,resnet,regmean,7,0.1,0.430600,0.797428,-0.366828,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,3,0,0.367400,0.388775,-0.021375,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,3,0.01,0.251700,0.411868,-0.160168,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,3,0.1,0.339700,0.787489,-0.447789,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,5,0,0.230600,0.351359,-0.120759,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,5,0.01,0.197000,0.410406,-0.213406,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,5,0.1,0.243500,0.682841,-0.439341,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,7,0,0.356000,0.240573,0.115427,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,7,0.01,0.288500,0.426483,-0.137983,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,7,0.1,0.138000,0.797428,-0.659428,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,3,0,0.107900,0.388775,-0.280875,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,3,0.01,0.076900,0.411868,-0.334968,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,3,0.1,0.071300,0.787489,-0.716189,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,5,0,0.160800,0.351359,-0.190559,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,5,0.01,0.081600,0.410406,-0.328806,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,5,0.1,0.182700,0.682841,-0.500141,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,7,0,0.179500,0.240573,-0.061073,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,7,0.01,0.187100,0.426483,-0.239383,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,breadcrumbs,7,0.1,0.071300,0.797428,-0.726128,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,3,0,0.307800,0.388775,-0.080975,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,3,0.01,0.251100,0.411868,-0.160768,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,3,0.1,0.167200,0.787489,-0.620289,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,5,0,0.179200,0.351359,-0.172159,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,5,0.01,0.208100,0.410406,-0.202306,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,5,0.1,0.159900,0.682841,-0.522941,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,7,0,0.172500,0.240573,-0.068073,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,7,0.01,0.175400,0.426483,-0.251083,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,model_stock,7,0.1,0.244700,0.797428,-0.552728,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,3,0,0.325100,0.388775,-0.063675,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,3,0.01,0.294100,0.411868,-0.117768,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,3,0.1,0.277700,0.787489,-0.509789,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,5,0,0.194700,0.351359,-0.156659,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,5,0.01,0.194700,0.410406,-0.215706,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,5,0.1,0.302500,0.682841,-0.380341,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,7,0,0.190300,0.240573,-0.050273,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,7,0.01,0.266900,0.426483,-0.159583,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,from,7,0.1,0.158400,0.797428,-0.639028,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,3,0,0.314800,0.388775,-0.073975,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,3,0.01,0.316900,0.411868,-0.094968,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,3,0.1,0.351700,0.787489,-0.435789,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,5,0,0.289400,0.351359,-0.061959,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,5,0.01,0.202900,0.410406,-0.207506,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,5,0.1,0.332100,0.682841,-0.350741,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,7,0,0.186500,0.240573,-0.054073,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,7,0.01,0.425000,0.426483,-0.001483,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,iso_c,7,0.1,0.295200,0.797428,-0.502228,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,3,0,0.301700,0.388775,-0.087075,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,3,0.01,0.306900,0.411868,-0.104968,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,3,0.1,0.394900,0.787489,-0.392589,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,5,0,0.274200,0.351359,-0.077159,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,5,0.01,0.194700,0.410406,-0.215706,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,5,0.1,0.271300,0.682841,-0.411541,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,7,0,0.194400,0.240573,-0.046173,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,7,0.01,0.359800,0.426483,-0.066683,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,free_merge,7,0.1,0.292300,0.797428,-0.505128,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,3,0,0.296100,0.388775,-0.092675,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,3,0.01,0.327700,0.411868,-0.084168,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,3,0.1,0.396400,0.787489,-0.391089,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,5,0,0.177700,0.351359,-0.173659,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,5,0.01,0.202600,0.410406,-0.207806,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,5,0.1,0.348700,0.682841,-0.334141,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,7,0,0.184700,0.240573,-0.055873,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,7,0.01,0.260500,0.426483,-0.165983,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,robustmerge,7,0.1,0.231500,0.797428,-0.565928,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,3,0.01,0.137400,0.331774,-0.194374,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,3,0.1,0.137400,0.745981,-0.608581,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,5,0,0.083000,0.194680,-0.111680,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,5,0.01,0.071000,0.409237,-0.338237,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,5,0.1,0.182400,0.194680,-0.012280,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,7,0,0.137400,0.194680,-0.057280,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,7,0.01,0.194700,0.418883,-0.224183,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,avg,7,0.1,0.083000,0.414791,-0.331791,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,3,0.01,0.182400,0.331774,-0.149374,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,3,0.1,0.137400,0.745981,-0.608581,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,5,0,0.090900,0.194680,-0.103780,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,5,0.01,0.090900,0.409237,-0.318337,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,5,0.1,0.182400,0.194680,-0.012280,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,7,0,0.137400,0.194680,-0.057280,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,ties,7,0.01,0.137400,0.418883,-0.281483,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
