dataset,task_type,backbone,method,num_clients,beta,merged_accuracy,best_client_accuracy_proxy,delta_accuracy,best_client_id,best_client_val_acc,source
chaoshengmnist,small,swin_tiny,ties,7,0.01,0.105100,0.173405,-0.068305,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,ties,7,0.1,0.161700,0.243486,-0.081786,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,3,0,0.173400,0.265049,-0.091649,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,3,0.01,0.173400,0.292004,-0.118604,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,3,0.1,0.176100,0.258760,-0.082660,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,5,0,0.182400,0.255166,-0.072766,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,5,0.01,0.105100,0.311770,-0.206670,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,5,0.1,0.173400,0.173405,-0.000005,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,7,0,0.128500,0.249775,-0.121275,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,7,0.01,0.159000,0.173405,-0.014405,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_linear,7,0.1,0.161700,0.243486,-0.081786,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,3,0,0.173400,0.265049,-0.091649,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,3,0.01,0.185100,0.292004,-0.106904,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,3,0.1,0.178800,0.258760,-0.079960,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,5,0,0.105100,0.255166,-0.150066,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,5,0.01,0.173400,0.311770,-0.138370,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,5,0.1,0.126700,0.173405,-0.046705,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,7,0,0.123100,0.249775,-0.126675,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,7,0.01,0.105100,0.173405,-0.068305,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,dare_ties,7,0.1,0.161700,0.243486,-0.081786,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,3,0,0.089800,0.265049,-0.175249,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,3,0.01,0.176100,0.292004,-0.115904,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,3,0.1,0.173400,0.258760,-0.085360,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,5,0,0.120400,0.255166,-0.134766,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,5,0.01,0.105100,0.311770,-0.206670,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,5,0.1,0.106000,0.173405,-0.067405,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,7,0,0.247100,0.249775,-0.002675,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,7,0.01,0.105100,0.173405,-0.068305,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,regmean,7,0.1,0.181500,0.243486,-0.061986,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,3,0,0.089800,0.265049,-0.175249,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,3,0.01,0.308200,0.292004,0.016196,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,3,0.1,0.125800,0.258760,-0.132960,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,5,0,0.125800,0.255166,-0.129366,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,5,0.01,0.115000,0.311770,-0.196770,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,5,0.1,0.108700,0.173405,-0.064705,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,7,0,0.179700,0.249775,-0.070075,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,7,0.01,0.173400,0.173405,-0.000005,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,fisher,7,0.1,0.173400,0.243486,-0.070086,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,3,0,0.199500,0.265049,-0.065549,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,3,0.01,0.126700,0.292004,-0.165304,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,3,0.1,0.108700,0.258760,-0.150060,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,5,0,0.161700,0.255166,-0.093466,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,5,0.01,0.126700,0.311770,-0.185070,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,5,0.1,0.105100,0.173405,-0.068305,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,7,0,0.196800,0.249775,-0.052975,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,7,0.01,0.173400,0.173405,-0.000005,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,breadcrumbs,7,0.1,0.125800,0.243486,-0.117686,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,3,0,0.113200,0.265049,-0.151849,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,3,0.01,0.173400,0.292004,-0.118604,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,3,0.1,0.175200,0.258760,-0.083560,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,5,0,0.161700,0.255166,-0.093466,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,5,0.01,0.106900,0.311770,-0.204870,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,5,0.1,0.113200,0.173405,-0.060205,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,7,0,0.199500,0.249775,-0.050275,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,7,0.01,0.199500,0.173405,0.026095,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,model_stock,7,0.1,0.161700,0.243486,-0.081786,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,3,0,0.108700,0.265049,-0.156349,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,3,0.01,0.175200,0.292004,-0.116804,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,3,0.1,0.177900,0.258760,-0.080860,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,5,0,0.108700,0.255166,-0.146466,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,5,0.01,0.105100,0.311770,-0.206670,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,5,0.1,0.161700,0.173405,-0.011705,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,7,0,0.204900,0.249775,-0.044875,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,7,0.01,0.105100,0.173405,-0.068305,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,from,7,0.1,0.133000,0.243486,-0.110486,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,3,0,0.175200,0.265049,-0.089849,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,3,0.01,0.174300,0.292004,-0.117704,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,3,0.1,0.177000,0.258760,-0.081760,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,5,0,0.161700,0.255166,-0.093466,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,5,0.01,0.129400,0.311770,-0.182370,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,5,0.1,0.228200,0.173405,0.054795,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,7,0,0.209300,0.249775,-0.040475,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,7,0.01,0.162600,0.173405,-0.010805,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,iso_c,7,0.1,0.165300,0.243486,-0.078186,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,3,0,0.108700,0.265049,-0.156349,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,3,0.01,0.173400,0.292004,-0.118604,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,3,0.1,0.173400,0.258760,-0.085360,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,5,0,0.194100,0.255166,-0.061066,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,5,0.01,0.105100,0.311770,-0.206670,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,5,0.1,0.173400,0.173405,-0.000005,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,7,0,0.171600,0.249775,-0.078175,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,7,0.01,0.159900,0.173405,-0.013505,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,free_merge,7,0.1,0.148200,0.243486,-0.095286,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,3,0,0.224600,0.265049,-0.040449,0,0.264117,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,3,0.01,0.126700,0.292004,-0.165304,2,0.300546,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,3,0.1,0.177000,0.258760,-0.081760,1,0.262295,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,5,0,0.162600,0.255166,-0.092566,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,5,0.01,0.126700,0.311770,-0.185070,2,0.316940,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,5,0.1,0.105100,0.173405,-0.068305,2,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,7,0,0.127600,0.249775,-0.122175,0,0.258652,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,7,0.01,0.199500,0.173405,0.026095,0,0.173042,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,swin_tiny,robustmerge,7,0.1,0.161700,0.243486,-0.081786,3,0.240437,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,3,0,0.161700,0.372866,-0.211166,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,3,0.01,0.181500,0.625337,-0.443837,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,3,0.1,0.192300,0.575022,-0.382722,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,5,0,0.127600,0.267745,-0.140145,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,5,0.01,0.161700,0.524708,-0.363008,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,5,0.1,0.131200,0.585804,-0.454604,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,7,0,0.265000,0.267745,-0.002745,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,7,0.01,0.199500,0.371069,-0.171569,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,avg,7,0.1,0.239900,0.466307,-0.226407,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,3,0,0.196800,0.372866,-0.176066,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,3,0.01,0.389900,0.625337,-0.235437,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,3,0.1,0.354000,0.575022,-0.221022,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,5,0,0.129400,0.267745,-0.138345,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,5,0.01,0.198600,0.524708,-0.326108,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,5,0.1,0.148200,0.585804,-0.437604,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,7,0,0.162600,0.267745,-0.105145,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,7,0.01,0.349500,0.371069,-0.021569,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,ties,7,0.1,0.179700,0.466307,-0.286607,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,3,0,0.097900,0.372866,-0.274966,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,3,0.01,0.283000,0.625337,-0.342337,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,3,0.1,0.121300,0.575022,-0.453722,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,5,0,0.129400,0.267745,-0.138345,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,5,0.01,0.134800,0.524708,-0.389908,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,5,0.1,0.166200,0.585804,-0.419604,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,7,0,0.161700,0.267745,-0.106045,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,7,0.01,0.153600,0.371069,-0.217469,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_linear,7,0.1,0.174300,0.466307,-0.292007,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,3,0,0.181500,0.372866,-0.191366,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,3,0.01,0.183300,0.625337,-0.442037,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,3,0.1,0.126700,0.575022,-0.448322,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,5,0,0.117700,0.267745,-0.150045,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,5,0.01,0.136600,0.524708,-0.388108,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,5,0.1,0.126700,0.585804,-0.459104,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,7,0,0.172500,0.267745,-0.095245,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,7,0.01,0.221900,0.371069,-0.149169,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,dare_ties,7,0.1,0.178800,0.466307,-0.287507,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,3,0,0.126700,0.372866,-0.246166,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,3,0.01,0.170700,0.625337,-0.454637,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,3,0.1,0.112300,0.575022,-0.462722,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,5,0,0.126700,0.267745,-0.141045,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,5,0.01,0.161700,0.524708,-0.363008,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,5,0.1,0.120400,0.585804,-0.465404,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,7,0,0.127600,0.267745,-0.140145,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,7,0.01,0.122200,0.371069,-0.248869,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,regmean,7,0.1,0.115900,0.466307,-0.350407,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,3,0,0.229100,0.372866,-0.143766,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,3,0.01,0.370200,0.625337,-0.255137,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,3,0.1,0.323500,0.575022,-0.251522,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,5,0,0.191400,0.267745,-0.076345,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,5,0.01,0.133000,0.524708,-0.391708,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,5,0.1,0.339600,0.585804,-0.246204,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,7,0,0.172500,0.267745,-0.095245,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,7,0.01,0.173400,0.371069,-0.197669,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,fisher,7,0.1,0.405200,0.466307,-0.061107,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,3,0,0.124900,0.372866,-0.247966,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,3,0.01,0.127600,0.625337,-0.497737,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,3,0.1,0.134800,0.575022,-0.440222,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,5,0,0.111400,0.267745,-0.156345,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,5,0.01,0.119500,0.524708,-0.405208,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,5,0.1,0.128500,0.585804,-0.457304,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,7,0,0.136600,0.267745,-0.131145,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,7,0.01,0.115000,0.371069,-0.256069,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,breadcrumbs,7,0.1,0.113200,0.466307,-0.353107,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,3,0,0.122200,0.372866,-0.250666,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,3,0.01,0.125800,0.625337,-0.499537,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,3,0.1,0.136600,0.575022,-0.438422,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,5,0,0.142000,0.267745,-0.125745,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,5,0.01,0.120400,0.524708,-0.404308,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,5,0.1,0.173400,0.585804,-0.412404,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,7,0,0.196800,0.267745,-0.070945,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,7,0.01,0.143800,0.371069,-0.227269,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,model_stock,7,0.1,0.166200,0.466307,-0.300107,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,3,0,0.170700,0.372866,-0.202166,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,3,0.01,0.253400,0.625337,-0.371937,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,3,0.1,0.146500,0.575022,-0.428522,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,5,0,0.125800,0.267745,-0.141945,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,5,0.01,0.111400,0.524708,-0.413308,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,5,0.1,0.149100,0.585804,-0.436704,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,7,0,0.258800,0.267745,-0.008945,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,7,0.01,0.166200,0.371069,-0.204869,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,from,7,0.1,0.285700,0.466307,-0.180607,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,3,0,0.152700,0.372866,-0.220166,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,3,0.01,0.167100,0.625337,-0.458237,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,3,0.1,0.175200,0.575022,-0.399822,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,5,0,0.114100,0.267745,-0.153645,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,5,0.01,0.192300,0.524708,-0.332408,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,5,0.1,0.131200,0.585804,-0.454604,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,7,0,0.247100,0.267745,-0.020645,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,7,0.01,0.191400,0.371069,-0.179669,2,0.375228,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,iso_c,7,0.1,0.293800,0.466307,-0.172507,1,0.497268,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,free_merge,3,0,0.161700,0.372866,-0.211166,0,0.395264,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,free_merge,3,0.01,0.181500,0.625337,-0.443837,2,0.635701,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,free_merge,3,0.1,0.192300,0.575022,-0.382722,2,0.579235,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,free_merge,5,0,0.127600,0.267745,-0.140145,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,free_merge,5,0.01,0.161700,0.524708,-0.363008,2,0.540984,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,free_merge,5,0.1,0.131200,0.585804,-0.454604,4,0.601093,formal_accuracy_rows + model_hub_meta_test_acc
chaoshengmnist,small,densenet,free_merge,7,0,0.265000,0.267745,-0.002745,0,0.271403,formal_accuracy_rows + model_hub_meta_test_acc
