model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.138909,0.286599,0.095260,0.583983,3,4,0.894000,4.498501,0.001953,"[196, 0, 0, 391, 824, 0, 0]","[46, 72, 155, 16, 157, 945, 20]"
client_1,test,0.160879,0.285714,0.131723,0.906449,2,2,0.934503,3.934702,0.008789,"[0, 132, 1279, 0, 0, 0, 0]","[46, 72, 155, 16, 157, 945, 20]"
client_2,test,0.676116,0.242101,0.160244,0.947555,2,5,0.976913,7.472014,0.035156,"[0, 0, 0, 0, 0, 1337, 74]","[46, 72, 155, 16, 157, 945, 20]"
avg,test,0.669738,0.142857,0.114601,1.000000,1,5,0.377726,0.725028,0.124023,"[0, 0, 0, 0, 0, 1411, 0]","[46, 72, 155, 16, 157, 945, 20]"
