client_id,classes,sampled_num_samples,sampled_class_counts,best_val_acc,test_acc,test_bacc,test_collapse,effective_pred_classes,top_pred_class,test_pred_counts
0,"[3, 4, 0]",765,"{""3"": 56, ""4"": 549, ""0"": 160}",0.142045,0.138909,0.286599,0.583983,3,4,"[196, 0, 0, 391, 824, 0, 0]"
1,"[2, 1]",795,"{""2"": 542, ""1"": 253}",0.160511,0.160879,0.285714,0.906449,2,2,"[0, 132, 1279, 0, 0, 0, 0]"
2,"[6, 5]",3377,"{""6"": 69, ""5"": 3308}",0.680398,0.676116,0.242101,0.947555,2,5,"[0, 0, 0, 0, 0, 1337, 74]"
