dataset,model,num_clients,beta,candidate,historical_selected,is_historical_selected,historical_acc,best_baseline,historical_delta_vs_best,historical_val_acc,historical_val_medical_acc,historical_selection_score,conflict_score,sign_conflict,direction_conflict,norm_dispersion,base_cancellation,consensus_cancellation,weight_shift_l1,weight_concentration,specialist_idx,specialist_score_gap_ratio,candidate_norm_ratio_to_avg,candidate_norm_ratio_to_consensus,distance_from_avg_ratio,distance_from_sign_ratio,cos_to_avg,cos_to_consensus,cos_to_sign,cos_to_medical,cos_to_specialist,sign_norm_ratio_to_avg,medical_norm_ratio_to_avg,specialist_norm_ratio_to_avg,sign_retained_l1_ratio
bloodmnist_224,resnet,3,0.0,delta_0p00,delta_0p50,0,0.5881321251096171,0.3826,0.2055321251096171,0.4453125,0.4417715873946137,0.443409587035021,0.4200141927728439,0.35265916390096363,0.479436993598938,0.4675731062889099,0.6552717450798976,0.7216397070818873,0.24413767457008362,0.11524111032485962,0,0.1975696731556649,0.9999999997373509,0.8084965483479889,0.0,0.6643140957503121,1.0,0.9853616952896118,0.8667548894882202,0.9947513341903687,0.8683099150657654,2.338156776314953,1.11303540069438,2.5262274926744253,0.8037261551785869
bloodmnist_224,resnet,3,0.0,delta_0p25,delta_0p50,0,0.5881321251096171,0.3826,0.2055321251096171,0.568359375,0.5491436210849939,0.5642425413590528,0.4200141927728439,0.35265916390096363,0.479436993598938,0.4675731062889099,0.6552717450798976,0.7216397070818873,0.24413767457008362,0.11524111032485962,0,0.1975696731556649,1.2897220220268715,1.0427358034109881,0.38831760114047836,0.4982646570290078,0.9751007556915283,0.9780629873275757,0.9572800993919373,0.978772759437561,0.8997696042060852,2.338156776314953,1.11303540069438,2.5262274926744253,0.8037261551785869
bloodmnist_224,resnet,3,0.0,delta_0p50,delta_0p50,1,0.5881321251096171,0.3826,0.2055321251096171,0.572265625,0.5535752397432144,0.56821961327872,0.4200141927728439,0.35265916390096363,0.479436993598938,0.4675731062889099,0.6552717450798976,0.7216397070818873,0.24413767457008362,0.11524111032485962,0,0.1975696731556649,1.6211888320557077,1.3107255752816083,0.776635252377307,0.33215704787515604,0.9338465332984924,0.948376476764679,0.9884693622589111,0.9437137842178345,0.8960058093070984,2.338156776314953,1.11303540069438,2.5262274926744253,0.8037261551785869
bloodmnist_224,resnet,3,0.0,delta_0p75,delta_0p50,0,0.5881321251096171,0.3826,0.2055321251096171,0.29296875,0.3069171289637357,0.29361825442365813,0.4200141927728439,0.35265916390096363,0.479436993598938,0.4675731062889099,0.6552717450798976,0.7216397070818873,0.24413767457008362,0.11524111032485962,0,0.1975696731556649,1.9740845563096558,1.5960405503426267,1.165020884361489,0.16607851322479117,0.8967567086219788,0.91868656873703,0.9981163144111633,0.9105643033981323,0.8838208913803101,2.338156776314953,1.11303540069438,2.5262274926744253,0.8037261551785869
bloodmnist_224,resnet,3,0.0,delta_1p00,delta_0p50,0,0.5881321251096171,0.3826,0.2055321251096171,0.220703125,0.20314397319572994,0.21619421631756103,0.4200141927728439,0.35265916390096363,0.479436993598938,0.4675731062889099,0.6552717450798976,0.7216397070818873,0.24413767457008362,0.11524111032485962,0,0.1975696731556649,2.338156776314953,1.8903916836436099,1.553270504754614,0.0,0.8667548894882202,0.8937095403671265,1.0,0.8832283616065979,0.8711474537849426,2.338156776314953,1.11303540069438,2.5262274926744253,0.8037261551785869
bloodmnist_224,resnet,3,0.0,medical_weighted_fusion,delta_0p50,0,0.5881321251096171,0.3826,0.2055321251096171,0.380859375,0.38421695318701937,0.37934706758243303,0.4200141927728439,0.35265916390096363,0.479436993598938,0.4675731062889099,0.6552717450798976,0.7216397070818873,0.24413767457008362,0.11524111032485962,0,0.1975696731556649,1.11303540069438,0.8998852798868812,0.1645845328889605,0.6209664321411448,0.9947513341903687,0.9968406558036804,0.8832283616065979,1.0,0.9082105755805969,2.338156776314953,1.11303540069438,2.5262274926744253,0.8037261551785869
bloodmnist_224,resnet,3,0.0,specialist_client,delta_0p50,0,0.5881321251096171,0.3826,0.2055321251096171,0.3828125,0.3876727226765315,0.3743604795544052,0.4200141927728439,0.35265916390096363,0.479436993598938,0.4675731062889099,0.6552717450798976,0.7216397070818873,0.24413767457008362,0.11524111032485962,0,0.1975696731556649,2.5262274926744253,2.042446208705514,1.7323101516605741,0.5350854909784754,0.8683099150657654,0.9352770447731018,0.8711474537849426,0.9082105755805969,1.0,2.338156776314953,1.11303540069438,2.5262274926744253,0.8037261551785869
bloodmnist_224,resnet,3,0.01,delta_0p00,delta_0p00,1,0.4539608301666179,0.3376,0.11636083016661791,0.4609375,0.4713902688161826,0.46105741179937565,0.4071788735982129,0.38492250945752404,0.4795825779438019,0.3305492103099823,0.6280021028379674,0.6576270351891625,0.2406032383441925,0.06609466671943665,0,0.03985787790270295,0.9999999996481338,0.931209401253114,0.0,0.673125636936799,1.0,0.9826171398162842,0.8347912430763245,0.9949111938476562,0.4214966595172882,2.2348917379805027,1.0289264395288322,1.122172782550673,0.7904481188789991
bloodmnist_224,resnet,3,0.01,delta_0p25,delta_0p00,0,0.4539608301666179,0.3376,0.11636083016661791,0.447265625,0.4901367866707048,0.45209412526655496,0.4071788735982129,0.38492250945752404,0.4795825779438019,0.3305492103099823,0.6280021028379674,0.6576270351891625,0.2406032383441925,0.06609466671943665,0,0.03985787790270295,1.2545802541039783,1.1682769276592226,0.37609069765586517,0.5048583566815262,0.9701541066169739,0.9610227346420288,0.9444303512573242,0.9680622220039368,0.340603768825531,2.2348917379805027,1.0289264395288322,1.122172782550673,0.7904481188789991
bloodmnist_224,resnet,3,0.01,delta_0p50,delta_0p00,0,0.4539608301666179,0.3376,0.11636083016661791,0.439453125,0.49198075146851233,0.4452824724709649,0.4071788735982129,0.38492250945752404,0.4795825779438019,0.3305492103099823,0.6280021028379674,0.6576270351891625,0.2406032383441925,0.06609466671943665,0,0.03985787790270295,1.5589259178731478,1.4516864710914148,0.7521813953117303,0.3365627884386887,0.9194230437278748,0.9164918661117554,0.9846111536026001,0.9199358820915222,0.27784058451652527,2.2348917379805027,1.0289264395288322,1.122172782550673,0.7904481188789991
