dataset,model,num_clients,beta,test_acc,best_original,delta_vs_best,fusion_hhi,fusion_max,evidence_reliability,class_morphology_separation,delta_blend_weight,specialist_anchor_weight,delta_agreement_mean_shift,early_params,early_sign_conflict,early_direction_conflict,early_norm_dispersion,early_mean_norm,early_conflict_score,mid_params,mid_sign_conflict,mid_direction_conflict,mid_norm_dispersion,mid_mean_norm,mid_conflict_score,late_params,late_sign_conflict,late_direction_conflict,late_norm_dispersion,late_mean_norm,late_conflict_score,classifier_params,classifier_sign_conflict,classifier_direction_conflict,classifier_norm_dispersion,classifier_mean_norm,classifier_conflict_score
bloodmnist_224,resnet,3,0.0,0.31540485238234434,0.3826,-0.06719514761765566,0.339516226208211,0.38178735971450806,0.571747899055481,0.14067430794239044,0.05550453113786927,0.0,0.010565557170095871,5114816,0.11114090273142208,0.17296332120895386,0.2178003042936325,18225.099609375,0.1541106295110003,1215488,0.19772538785234994,0.19816216826438904,0.22863291203975677,1198.1649169921875,0.204059765834045,4855808,0.28496565201300206,0.2122572958469391,0.2338775247335434,983.6498413085938,0.2493001018989883,4104,0.39151001367901206,0.47896942496299744,0.16294914484024048,2.3642868995666504,0.3764086338606526
bloodmnist_224,resnet,3,0.01,0.26132709733995907,0.3376,-0.07627290266004094,0.34843512084907236,0.4329602122306824,0.571747899055481,0.14067430794239044,0.05226647470244493,0.0,0.007501025681437454,5114816,0.1095585492039527,0.14810147881507874,0.08960210531949997,16203.9296875,0.11905728579095626,1215488,0.20667291708263702,0.19172123074531555,0.11531485617160797,1048.0535888671875,0.1831682146823687,4855808,0.3235049111603723,0.1821545660495758,0.061718329787254333,761.2694702148438,0.22167497409696993,4104,0.32418663951701077,0.4488983750343323,0.37658441066741943,2.222172975540161,0.37831530117815504
bloodmnist_224,resnet,3,0.1,0.31072785735165154,0.3964,-0.08567214264834844,0.3688964053571322,0.44602471590042114,0.571747899055481,0.14067430794239044,0.05427705780396302,0.0,0.009220223806914873,5114816,0.07412911514549048,0.1597195863723755,0.49032357335090637,24142.013671875,0.1873246717159834,1215488,0.1887677380500956,0.18714144825935364,0.43756556510925293,1556.4296875,0.23795810203516743,4855808,0.2703681728914159,0.1847325563430786,0.5767049193382263,1201.6231689453125,0.30166305638885993,4104,0.36840661219365134,0.48303189873695374,0.290948748588562,2.78839111328125,0.3930338897627893
bloodmnist_224,resnet,5,0.0,0.16983338205203158,0.2894,-0.11956661794796841,0.23439190879948923,0.3636002540588379,0.571747899055481,0.14067430794239044,0.055603183673510706,0.19648964839455704,0.0016085789783096517,5114816,0.14951039822260703,0.1661604642868042,0.1358388215303421,14439.6123046875,0.15260360600662307,1215488,0.26376858018083926,0.19887232780456543,0.1427030861377716,939.4723510742188,0.2168417930405299,4855808,0.4330385160875988,0.2328607738018036,0.15124905109405518,691.1588134765625,0.30661841328886175,4104,0.30535814819233986,0.35736769437789917,0.26217830181121826,2.2662556171417236,0.31492552008106134
bloodmnist_224,resnet,5,0.01,0.21864951768488747,0.2917,-0.07305048231511255,0.2429934892406933,0.3748135268688202,0.571747899055481,0.14067430794239044,0.06406983503206792,0.1881638729744403,0.003412164730601717,5114816,0.17584300696916377,0.1957259178161621,0.214620441198349,14107.8466796875,0.19055751261145024,1215488,0.28813404031024625,0.22485971450805664,0.17978748679161072,966.3606567382812,0.2443187155757528,4855808,0.43867923365934125,0.2528744339942932,0.22439023852348328,619.2708740234375,0.33078975474940286,4104,0.30827895632498103,0.3539602756500244,0.25251367688179016,2.2923426628112793,0.313114362200108
bloodmnist_224,resnet,5,0.1,0.47500730780473543,0.4373,0.03770730780473541,0.2457657397968508,0.36188021302223206,0.571747899055481,0.14067430794239044,0.06482700286887919,0.0,0.004121424516400793,5114816,0.10971486789593743,0.15787768363952637,0.2427988201379776,21075.24609375,0.1531886438546016,1215488,0.2629323886723308,0.1879819929599762,0.26279890537261963,1380.5054931640625,0.23667305351306445,4855808,0.38121162693844,0.17722296714782715,0.2582172155380249,1035.3897705078125,0.2852167137316425,4104,0.3510781620075176,0.39979636669158936,0.2649288475513458,2.566093921661377,0.3508996707557084
bloodmnist_224,resnet,7,0.0,0.16924875767319497,0.356,-0.186751242326805,0.16736270045189522,0.2663128972053528,0.571747899055481,0.14067430794239044,0.06761635589692727,0.0,0.0025466315007463434,5114816,0.20318786057375338,0.18298935890197754,0.24709190428256989,13073.4501953125,0.20489919373039514,1215488,0.3016418520425098,0.2056666612625122,0.2069377303123474,843.8695678710938,0.24910971092347817,4855808,0.4933981064510782,0.28124725818634033,0.2740887701511383,608.8591918945312,0.37528344229843197,4104,0.29086669904733364,0.3157327175140381,0.20258274674415588,2.3097591400146484,0.2819130150500447
bloodmnist_224,resnet,7,0.01,0.4580532008184741,0.425,0.03305320081847413,0.17922623489129003,0.2597940266132355,0.571747899055481,0.14067430794239044,0.08633988429801606,0.0,0.004843928238633452,5114816,0.21492389124173839,0.25219833850860596,0.4850836396217346,13837.1845703125,0.28200189746114124,1215488,0.32168825710992854,0.25110840797424316,0.3983921706676483,876.4781494140625,0.31232609262398264,4855808,0.45030144616167966,0.2953917384147644,0.5409637689590454,614.1199951171875,0.41421551300973247,4104,0.31058716699002287,0.3305876851081848,0.2838180363178253,2.4088637828826904,0.31223352219694
bloodmnist_224,resnet,7,0.1,0.3300204618532593,0.4306,-0.1005795381467407,0.15713556784560245,0.19031602144241333,0.571747899055481,0.14067430794239044,0.07204297927130934,0.0,0.0027410281444144855,5114816,0.15180499522049473,0.17837581038475037,0.26103177666664124,18769.931640625,0.1829501368172135,1215488,0.30589270434009264,0.2064172923564911,0.28970301151275635,1329.6929931640625,0.26783837158036483,4855808,0.4423750085251542,0.20710203051567078,0.2847299873828888,939.9412231445312,0.3285004619933819,4104,0.3525779899137096,0.3493444323539734,0.1592153012752533,2.713350772857666,0.3127737070401107
chaoshengmnist_224,resnet,3,0.0,0.27133872416891286,0.2659,0.005438724168912834,0.34935787834896836,0.4010695815086365,0.6494761109352112,0.06512881815433502,0.05762424659626637,0.0,0.009180694943012213,5114816,0.171470617725748,0.16993436217308044,0.007919100113213062,11052.6220703125,0.13822262475980737,1215488,0.2476243512997166,0.2030503749847412,0.04424386844038963,759.0162963867188,0.19134736301760982,4855808,0.31377053234572105,0.2145499289035797,0.10059759020805359,575.4398803710938,0.2364087327134381,4104,0.41440142443261463,0.5003900527954102,0.17353282868862152,2.395282030105591,0.39632372521079445
