client_id,classes,sampled_num_samples,sampled_class_counts,best_val_acc,test_acc,test_bacc,test_collapse,effective_pred_classes,top_pred_class,test_pred_counts
0,"[3, 4, 0]",1087,"{""3"": 80, ""4"": 779, ""0"": 228}",0.141575,0.139651,0.323412,0.776060,3,4,"[178, 0, 0, 271, 1556, 0, 0]"
1,"[2, 1]",1128,"{""2"": 769, ""1"": 359}",0.158524,0.156110,0.274795,0.871820,2,2,"[0, 257, 1748, 0, 0, 0, 0]"
2,"[6, 5]",4792,"{""6"": 99, ""5"": 4693}",0.679960,0.679302,0.255945,0.980549,2,5,"[0, 0, 0, 0, 0, 1966, 39]"
