model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.139651,0.323412,0.103002,0.776060,3,4,0.933148,6.156554,0.007812,"[178, 0, 0, 271, 1556, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_1,test,0.156110,0.274795,0.108343,0.871820,2,2,0.978783,8.544911,0.000000,"[0, 257, 1748, 0, 0, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_2,test,0.679302,0.255945,0.212324,0.980549,2,5,0.990595,8.680908,0.046875,"[0, 0, 0, 0, 0, 1966, 39]","[66, 103, 220, 23, 223, 1341, 29]"
avg,test,0.428429,0.290988,0.255552,0.452868,7,5,0.255785,0.156836,0.000000,"[128, 94, 831, 11, 30, 908, 3]","[66, 103, 220, 23, 223, 1341, 29]"
