model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.306343,0.367544,0.183700,0.600409,3,3,0.909893,7.508923,0.001953,"[773, 0, 0, 2054, 594, 0, 0, 0]","[244, 624, 311, 579, 243, 284, 666, 470]"
client_1,test,0.387898,0.354748,0.210706,0.417129,3,2,0.860462,4.722628,0.000977,"[0, 1249, 1427, 0, 0, 0, 0, 745]","[244, 624, 311, 579, 243, 284, 666, 470]"
client_2,test,0.270681,0.240951,0.103098,0.674949,2,6,0.891739,5.097342,0.000000,"[0, 0, 0, 0, 0, 1112, 2309, 0]","[244, 624, 311, 579, 243, 284, 666, 470]"
avg,test,0.252265,0.211645,0.114972,0.755919,4,6,0.148710,0.066391,0.000000,"[24, 0, 0, 9, 0, 802, 2586, 0]","[244, 624, 311, 579, 243, 284, 666, 470]"
