client_id,classes,sampled_num_samples,sampled_class_counts,best_val_acc,test_acc,test_bacc,test_collapse,effective_pred_classes,top_pred_class,test_pred_counts
0,"[3, 4, 0]",1087,"{""3"": 80, ""4"": 779, ""0"": 228}",0.151545,0.147132,0.383208,0.515711,3,4,"[742, 0, 0, 229, 1034, 0, 0]"
1,"[2, 1]",1128,"{""2"": 769, ""1"": 359}",0.161515,0.161097,0.285714,0.505237,2,2,"[0, 992, 1013, 0, 0, 0, 0]"
2,"[6, 5]",4792,"{""6"": 99, ""5"": 4693}",0.681954,0.681297,0.270829,0.985037,2,5,"[0, 0, 0, 0, 0, 1975, 30]"
