model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.147132,0.383208,0.091602,0.515711,3,4,0.834854,3.430979,0.000977,"[742, 0, 0, 229, 1034, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_1,test,0.161097,0.285714,0.077854,0.505237,2,2,0.903275,4.084029,0.000977,"[0, 992, 1013, 0, 0, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_2,test,0.681297,0.270829,0.241366,0.985037,2,5,0.979417,5.700737,0.050781,"[0, 0, 0, 0, 0, 1975, 30]","[66, 103, 220, 23, 223, 1341, 29]"
avg,test,0.212469,0.219481,0.140299,0.792020,4,4,0.290049,0.215925,0.000000,"[60, 0, 79, 0, 1588, 278, 0]","[66, 103, 220, 23, 223, 1341, 29]"
