task_type,dataset,model,clip_model,num_clients,beta,seed,selected_candidate,client_weights,plot_path,status,image
small,bloodmnist_224,resnet,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.47904143, alpha_morph=0.41089880, A=0.50000000, M=0.41924757, H=0.00000000, Q=0.41337517, F=0.12854606<br>client_1.pt: pi=0.33333333, alpha_all=0.24609686, alpha_morph=0.28175923, A=0.12500000, M=0.16896078, H=0.28571430, Q=0.25889614, F=0.04518898<br>client_2.pt: pi=0.33333333, alpha_all=0.27486178, alpha_morph=0.30734199, A=0.18750000, M=0.21630517, H=0.28571430, Q=0.17917535, F=0.07686299",,not_plotted,
small,bloodmnist_224,resnet,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.41167039, alpha_morph=0.38313916, A=0.25000000, M=0.19756141, H=0.00000000, Q=0.20978442, F=0.04854768<br>client_1.pt: pi=0.33333333, alpha_all=0.24898219, alpha_morph=0.31064701, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.14163917, F=0.02256931<br>client_2.pt: pi=0.33333333, alpha_all=0.33934742, alpha_morph=0.30621389, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14202581, F=0.03171512",,not_plotted,
small,bloodmnist_224,resnet,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.09799293, alpha_morph=0.08533284, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.04244028, F=0.00000000<br>client_1.pt: pi=0.20000000, alpha_all=0.15923108, alpha_morph=0.19485989, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.11017900, F=0.02174652<br>client_2.pt: pi=0.20000000, alpha_all=0.19731875, alpha_morph=0.20953181, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.12244552, F=0.02612422<br>client_3.pt: pi=0.20000000, alpha_all=0.22352035, alpha_morph=0.19619529, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14199370, F=0.03171464<br>client_4.pt: pi=0.20000000, alpha_all=0.32193685, alpha_morph=0.31408021, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.29317632, F=0.07319392",,not_plotted,
small,bloodmnist_224,resnet,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.07631395, alpha_morph=0.06455042, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.02629225, F=0.00000000<br>client_1.pt: pi=0.20000000, alpha_all=0.27675128, alpha_morph=0.29985964, A=0.31250000, M=0.31816980, H=0.14285715, Q=0.33776549, F=0.12139892<br>client_2.pt: pi=0.20000000, alpha_all=0.12598611, alpha_morph=0.13735929, A=0.06250000, M=0.07451712, H=0.14285715, Q=0.10421415, F=0.01653007<br>client_3.pt: pi=0.20000000, alpha_all=0.25638226, alpha_morph=0.24290390, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.28812009, F=0.07270217<br>client_4.pt: pi=0.20000000, alpha_all=0.26456633, alpha_morph=0.25532681, A=0.31250000, M=0.25799844, H=0.14285715, Q=0.26829934, F=0.07374742",,not_plotted,
small,bloodmnist_224,resnet,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.21254088, alpha_morph=0.22474094, A=0.31250000, M=0.30944812, H=0.28571430, Q=0.35764709, F=0.13160065<br>client_1.pt: pi=0.20000000, alpha_all=0.27528214, alpha_morph=0.26952475, A=0.50000000, M=0.45865709, H=0.14285715, Q=0.40365675, F=0.19166702<br>client_2.pt: pi=0.20000000, alpha_all=0.15455762, alpha_morph=0.17495416, A=0.18750000, M=0.21630517, H=0.28571430, Q=0.22431646, F=0.05638669<br>client_3.pt: pi=0.20000000, alpha_all=0.24914713, alpha_morph=0.23933384, A=0.43750000, M=0.39627135, H=0.14285715, Q=0.39445919, F=0.11845727<br>client_4.pt: pi=0.20000000, alpha_all=0.10847228, alpha_morph=0.09144638, A=0.12500000, M=0.10255420, H=0.00000000, Q=0.12588480, F=0.03495837",,not_plotted,
small,bloodmnist_224,resnet,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.06397469, alpha_morph=0.05219933, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.00281647, F=0.00000000<br>client_1.pt: pi=0.14285714, alpha_all=0.11068058, alpha_morph=0.11416711, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.11499084, F=0.01568376<br>client_2.pt: pi=0.14285714, alpha_all=0.13896799, alpha_morph=0.13783607, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.14017868, F=0.02691410<br>client_3.pt: pi=0.14285714, alpha_all=0.15519051, alpha_morph=0.12751761, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14116389, F=0.03168650<br>client_4.pt: pi=0.14285714, alpha_all=0.22395787, alpha_morph=0.20452303, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.29595953, F=0.07350122<br>client_5.pt: pi=0.14285714, alpha_all=0.19268699, alpha_morph=0.23376493, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.22006969, F=0.06013408<br>client_6.pt: pi=0.14285714, alpha_all=0.11454145, alpha_morph=0.12999190, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.14689420, F=0.02349101",,not_plotted,
small,bloodmnist_224,resnet,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.10406536, alpha_morph=0.12488224, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.10997317, F=0.02176054<br>client_1.pt: pi=0.14285714, alpha_all=0.14767404, alpha_morph=0.12712422, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.15751521, F=0.03251985<br>client_2.pt: pi=0.14285714, alpha_all=0.12293857, alpha_morph=0.12950349, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.29583582, F=0.03325747<br>client_3.pt: pi=0.14285714, alpha_all=0.21150200, alpha_morph=0.20227760, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.30333602, F=0.07426954<br>client_4.pt: pi=0.14285714, alpha_all=0.09223864, alpha_morph=0.08350854, A=0.06250000, M=0.05707407, H=0.00000000, Q=0.08287599, F=0.01244749<br>client_5.pt: pi=0.14285714, alpha_all=0.18681526, alpha_morph=0.18520091, A=0.25000000, M=0.21065405, H=0.14285715, Q=0.20938841, F=0.06400653<br>client_6.pt: pi=0.14285714, alpha_all=0.13476613, alpha_morph=0.14750296, A=0.12500000, M=0.13217348, H=0.14285715, Q=0.15910408, F=0.05898684",,not_plotted,
small,bloodmnist_224,resnet,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.08353858, alpha_morph=0.08030558, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.12222692, F=0.02609937<br>client_1.pt: pi=0.14285714, alpha_all=0.14196506, alpha_morph=0.13775611, A=0.31250000, M=0.29635546, H=0.14285715, Q=0.28396115, F=0.08873658<br>client_2.pt: pi=0.14285714, alpha_all=0.16697766, alpha_morph=0.16953710, A=0.37500000, M=0.35679251, H=0.28571430, Q=0.33461723, F=0.11412907<br>client_3.pt: pi=0.14285714, alpha_all=0.11135191, alpha_morph=0.12519187, A=0.18750000, M=0.21630517, H=0.28571430, Q=0.19462900, F=0.08421569<br>client_4.pt: pi=0.14285714, alpha_all=0.13285370, alpha_morph=0.11318718, A=0.31250000, M=0.25752819, H=0.00000000, Q=0.22382973, F=0.09393434<br>client_5.pt: pi=0.14285714, alpha_all=0.14588468, alpha_morph=0.14245424, A=0.31250000, M=0.29918399, H=0.14285715, Q=0.32961768, F=0.11254412<br>client_6.pt: pi=0.14285714, alpha_all=0.21742842, alpha_morph=0.23156792, A=0.50000000, M=0.48974296, H=0.42857143, Q=0.47726622, F=0.24193402",,not_plotted,
small,bloodmnist_224,swin_tiny,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.27249733, alpha_morph=0.22631027, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048733, F=0.03165519<br>client_1.pt: pi=0.33333333, alpha_all=0.39008164, alpha_morph=0.36021984, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876022, F=0.07175371<br>client_2.pt: pi=0.33333333, alpha_all=0.33742094, alpha_morph=0.41346994, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.21837552, F=0.05405068",,not_plotted,
small,bloodmnist_224,swin_tiny,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.38387039, alpha_morph=0.33625171, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048754, F=0.03165520<br>client_1.pt: pi=0.33333333, alpha_all=0.26264665, alpha_morph=0.29146555, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07137830, F=0.01520379<br>client_2.pt: pi=0.33333333, alpha_all=0.35348299, alpha_morph=0.37228274, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.17584343, F=0.02943013",,not_plotted,
