model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.141035,0.336677,0.098133,0.769667,3,4,0.894266,4.636354,0.002930,"[238, 0, 0, 87, 1086, 0, 0]","[46, 72, 155, 16, 157, 945, 20]"
client_1,test,0.152374,0.267217,0.108339,0.881644,2,2,0.975187,7.489021,0.007812,"[0, 167, 1244, 0, 0, 0, 0]","[46, 72, 155, 16, 157, 945, 20]"
client_2,test,0.676825,0.221277,0.207601,0.990078,2,5,0.996846,8.428760,0.030273,"[0, 0, 0, 0, 0, 1397, 14]","[46, 72, 155, 16, 157, 945, 20]"
avg,test,0.669738,0.142857,0.114601,1.000000,1,5,0.376116,0.855169,0.250732,"[0, 0, 0, 0, 0, 1411, 0]","[46, 72, 155, 16, 157, 945, 20]"
