client_id,classes,sampled_num_samples,sampled_class_counts,best_val_acc,test_acc,test_bacc,test_collapse,effective_pred_classes,top_pred_class,test_pred_counts
0,"[3, 4, 0]",765,"{""3"": 56, ""4"": 549, ""0"": 160}",0.139205,0.141035,0.336677,0.769667,3,4,"[238, 0, 0, 87, 1086, 0, 0]"
1,"[2, 1]",795,"{""2"": 542, ""1"": 253}",0.156250,0.152374,0.267217,0.881644,2,2,"[0, 167, 1244, 0, 0, 0, 0]"
2,"[6, 5]",3377,"{""6"": 69, ""5"": 3308}",0.681818,0.676825,0.221277,0.990078,2,5,"[0, 0, 0, 0, 0, 1397, 14]"
