client_id,classes,sampled_num_samples,sampled_class_counts,best_val_acc,test_acc,test_bacc,test_collapse,effective_pred_classes,top_pred_class,test_pred_counts
0,"[0, 1]",600,"{""0"": 300, ""1"": 300}",0.170000,0.163600,0.163600,0.522300,2,1,"[4777, 5223, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[2, 3]",600,"{""2"": 300, ""3"": 300}",0.149400,0.140500,0.140500,0.661500,2,3,"[0, 0, 3385, 6615, 0, 0, 0, 0, 0, 0]"
2,"[4, 5]",600,"{""4"": 300, ""5"": 300}",0.143800,0.147600,0.147600,0.644600,2,5,"[0, 0, 0, 0, 3554, 6446, 0, 0, 0, 0]"
3,"[6, 7]",600,"{""6"": 300, ""7"": 300}",0.164000,0.167100,0.167100,0.622500,3,7,"[0, 1, 0, 0, 0, 0, 3774, 6225, 0, 0]"
4,"[8, 9]",4080,"{""8"": 4000, ""9"": 80}",0.113600,0.111600,0.111600,0.977400,2,8,"[0, 0, 0, 0, 0, 0, 0, 0, 9774, 226]"
