model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.163600,0.163600,0.054619,0.522300,2,1,0.531163,0.819081,0.000000,"[4777, 5223, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_1,test,0.140500,0.140500,0.047889,0.661500,2,3,0.558578,0.755108,0.000000,"[0, 0, 3385, 6615, 0, 0, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_2,test,0.147600,0.147600,0.050357,0.644600,2,5,0.545767,0.853938,0.000000,"[0, 0, 0, 0, 3554, 6446, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_3,test,0.167100,0.167100,0.058294,0.622500,3,7,0.557265,0.886119,0.000000,"[0, 1, 0, 0, 0, 0, 3774, 6225, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_4,test,0.111600,0.111600,0.037776,0.977400,2,8,0.955219,5.747644,0.001953,"[0, 0, 0, 0, 0, 0, 0, 0, 9774, 226]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
avg,test,0.083200,0.083200,0.063149,0.430700,10,8,0.194464,0.269787,0.000000,"[290, 987, 636, 2073, 142, 382, 872, 194, 4307, 117]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
