group,methods,num_cases,mean_accuracy,median_accuracy,near_majority_prior_rate,low_performance_rate
weight_geometry,avg breadcrumbs dare_linear dare_ties free_merge from iso_c model_stock robustmerge ties,5670,0.186678,0.135650,0.124339,0.468959
image_statistics,fisher regmean,1134,0.196300,0.137400,0.123457,0.460317
