dataset,task_type,backbone,method,setting,num_clients,beta,accuracy,source_file
bloodmnist,small,resnet34,robustmerge,c3_b0.1,3,0.1,0.3423,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet34,robustmerge,c5_b0,5,0.0,0.1976,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet34,robustmerge,c5_b0.01,5,0.01,0.2385,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet34,robustmerge,c5_b0.1,5,0.1,0.1763,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet34,robustmerge,c7_b0,7,0.0,0.1804,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet34,robustmerge,c7_b0.01,7,0.01,0.2219,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet34,robustmerge,c7_b0.1,7,0.1,0.2046,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c3_b0,3,0.0,0.1842,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c3_b0.01,3,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c3_b0.1,3,0.1,0.2037,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c5_b0,5,0.0,0.0821,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c7_b0,7,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,avg,c7_b0.1,7,0.1,0.1695,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c3_b0,3,0.0,0.2581,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c3_b0.01,3,0.01,0.3066,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c3_b0.1,3,0.1,0.1768,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c5_b0,5,0.0,0.259,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c5_b0.01,5,0.01,0.3438,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c7_b0,7,0.0,0.1888,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c7_b0.01,7,0.01,0.1964,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,ties,c7_b0.1,7,0.1,0.188,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c3_b0,3,0.0,0.1368,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c3_b0.01,3,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c3_b0.1,3,0.1,0.2084,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c5_b0,5,0.0,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c7_b0,7,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_linear,c7_b0.1,7,0.1,0.1426,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c3_b0,3,0.0,0.2572,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c3_b0.01,3,0.01,0.2514,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c3_b0.1,3,0.1,0.2678,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c5_b0,5,0.0,0.2219,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c5_b0.01,5,0.01,0.387,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c7_b0,7,0.0,0.152,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c7_b0.01,7,0.01,0.195,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,dare_ties,c7_b0.1,7,0.1,0.1377,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c3_b0,3,0.0,0.2955,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c3_b0.01,3,0.01,0.3005,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c3_b0.1,3,0.1,0.226,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c5_b0,5,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c5_b0.01,5,0.01,0.3587,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c5_b0.1,5,0.1,0.0851,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c7_b0,7,0.0,0.1923,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,regmean,c7_b0.1,7,0.1,0.185,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c3_b0,3,0.0,0.252,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c3_b0.01,3,0.01,0.2087,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c3_b0.1,3,0.1,0.0851,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c5_b0,5,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c7_b0,7,0.0,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,fisher,c7_b0.1,7,0.1,0.1956,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c3_b0,3,0.0,0.1853,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c3_b0.01,3,0.01,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c3_b0.1,3,0.1,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c5_b0,5,0.0,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c7_b0,7,0.0,0.0742,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c7_b0.01,7,0.01,0.1938,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,breadcrumbs,c7_b0.1,7,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c3_b0.01,3,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c3_b0.1,3,0.1,0.1426,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c5_b0,5,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c7_b0,7,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,model_stock,c7_b0.1,7,0.1,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c3_b0,3,0.0,0.3116,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c3_b0.01,3,0.01,0.2081,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c3_b0.1,3,0.1,0.2985,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c5_b0,5,0.0,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c5_b0.01,5,0.01,0.3195,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c7_b0,7,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c7_b0.01,7,0.01,0.1979,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,from,c7_b0.1,7,0.1,0.2154,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c3_b0,3,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c3_b0.01,3,0.01,0.154,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c3_b0.1,3,0.1,0.1412,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c5_b0,5,0.0,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c5_b0.01,5,0.01,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c5_b0.1,5,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c7_b0,7,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c7_b0.01,7,0.01,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,iso_c,c7_b0.1,7,0.1,0.1985,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c3_b0,3,0.0,0.2929,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c3_b0.01,3,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c3_b0.1,3,0.1,0.1812,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c5_b0,5,0.0,0.0646,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c7_b0,7,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,free_merge,c7_b0.1,7,0.1,0.3154,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c3_b0,3,0.0,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c3_b0.01,3,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c3_b0.1,3,0.1,0.1523,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c5_b0,5,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c7_b0,7,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,vlm,openai/clip-vit-base-patch32,robustmerge,c7_b0.1,7,0.1,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
chaoshengmnist,small,resnet,avg,c3_b0,3,0.0,0.2552,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c3_b0.01,3,0.01,0.301,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c3_b0.1,3,0.1,0.1743,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c5_b0,5,0.0,0.1545,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c5_b0.01,5,0.01,0.1536,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c5_b0.1,5,0.1,0.1662,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c7_b0,7,0.0,0.1689,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c7_b0.01,7,0.01,0.1321,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,avg,c7_b0.1,7,0.1,0.1617,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c3_b0,3,0.0,0.1923,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c3_b0.01,3,0.01,0.3827,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c3_b0.1,3,0.1,0.4681,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c5_b0,5,0.0,0.1231,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c5_b0.01,5,0.01,0.3468,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c5_b0.1,5,0.1,0.1267,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c7_b0,7,0.0,0.1051,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c7_b0.01,7,0.01,0.2893,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,ties,c7_b0.1,7,0.1,0.1617,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c3_b0,3,0.0,0.2111,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c3_b0.01,3,0.01,0.2642,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c3_b0.1,3,0.1,0.1734,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c5_b0,5,0.0,0.1572,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c5_b0.01,5,0.01,0.1671,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c5_b0.1,5,0.1,0.1941,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c7_b0,7,0.0,0.168,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c7_b0.01,7,0.01,0.15,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_linear,c7_b0.1,7,0.1,0.1644,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c3_b0,3,0.0,0.1249,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c3_b0.01,3,0.01,0.4115,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c3_b0.1,3,0.1,0.3432,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c5_b0,5,0.0,0.159,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c5_b0.01,5,0.01,0.2049,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c5_b0.1,5,0.1,0.1267,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c7_b0,7,0.0,0.1303,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c7_b0.01,7,0.01,0.2749,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,dare_ties,c7_b0.1,7,0.1,0.1617,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c3_b0,3,0.0,0.1572,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c3_b0.01,3,0.01,0.1932,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c3_b0.1,3,0.1,0.3324,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c5_b0,5,0.0,0.1384,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c5_b0.01,5,0.01,0.1959,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c5_b0.1,5,0.1,0.1743,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c7_b0,7,0.0,0.1078,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c7_b0.01,7,0.01,0.115,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,regmean,c7_b0.1,7,0.1,0.1725,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c3_b0,3,0.0,0.1815,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c3_b0.01,3,0.01,0.1563,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c3_b0.1,3,0.1,0.3621,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c5_b0,5,0.0,0.1806,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c5_b0.01,5,0.01,0.2174,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c5_b0.1,5,0.1,0.1599,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c7_b0,7,0.0,0.239,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c7_b0.01,7,0.01,0.2579,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,fisher,c7_b0.1,7,0.1,0.257,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c3_b0,3,0.0,0.1294,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c3_b0.01,3,0.01,0.1285,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c3_b0.1,3,0.1,0.1096,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c5_b0,5,0.0,0.1087,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c5_b0.01,5,0.01,0.1105,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c5_b0.1,5,0.1,0.1626,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c7_b0,7,0.0,0.1168,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c7_b0.01,7,0.01,0.0916,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,breadcrumbs,c7_b0.1,7,0.1,0.0979,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c3_b0,3,0.0,0.1662,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c3_b0.01,3,0.01,0.1878,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c3_b0.1,3,0.1,0.1833,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c5_b0,5,0.0,0.1249,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c5_b0.01,5,0.01,0.1366,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c5_b0.1,5,0.1,0.1348,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c7_b0,7,0.0,0.1689,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c7_b0.01,7,0.01,0.1402,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,model_stock,c7_b0.1,7,0.1,0.1644,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c3_b0,3,0.0,0.2588,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c3_b0.01,3,0.01,0.2543,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c3_b0.1,3,0.1,0.1797,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c5_b0,5,0.0,0.1482,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c5_b0.01,5,0.01,0.1725,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c5_b0.1,5,0.1,0.1312,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c7_b0,7,0.0,0.2444,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c7_b0.01,7,0.01,0.2129,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,from,c7_b0.1,7,0.1,0.1617,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,iso_c,c3_b0,3,0.0,0.2624,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,iso_c,c3_b0.01,3,0.01,0.301,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,iso_c,c3_b0.1,3,0.1,0.221,program/MedMNISTMerge/result/chaoshengmnist(1).md
chaoshengmnist,small,resnet,iso_c,c5_b0,5,0.0,0.1554,program/MedMNISTMerge/result/chaoshengmnist(1).md
