model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.144140,0.358081,0.117326,0.477307,3,4,0.917350,5.677032,0.011719,"[199, 0, 0, 849, 957, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_1,test,0.161097,0.285714,0.144004,0.922195,2,2,0.972621,6.255516,0.013672,"[0, 156, 1849, 0, 0, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_2,test,0.674813,0.254986,0.166959,0.948628,2,5,0.976871,8.249921,0.003906,"[0, 0, 0, 0, 0, 1902, 103]","[66, 103, 220, 23, 223, 1341, 29]"
avg,test,0.699252,0.191548,0.174710,0.906733,2,5,0.389726,0.357320,0.000488,"[0, 0, 0, 0, 187, 1818, 0]","[66, 103, 220, 23, 223, 1341, 29]"
