client_id,classes,sampled_num_samples,sampled_class_counts,best_val_acc,test_acc,test_bacc,test_collapse,effective_pred_classes,top_pred_class,test_pred_counts
0,"[3, 4, 0]",1087,"{""3"": 80, ""4"": 779, ""0"": 228}",0.147557,0.144140,0.358081,0.477307,3,4,"[199, 0, 0, 849, 957, 0, 0]"
1,"[2, 1]",1128,"{""2"": 769, ""1"": 359}",0.161515,0.161097,0.285714,0.922195,2,2,"[0, 156, 1849, 0, 0, 0, 0]"
2,"[6, 5]",4792,"{""6"": 99, ""5"": 4693}",0.677966,0.674813,0.254986,0.948628,2,5,"[0, 0, 0, 0, 0, 1902, 103]"
