domain,epoch,train_loss,val_accuracy,val_balanced_accuracy,val_collapse_ratio
medical_derma,1,5.348560992603348,0.5264207124710083,0.4160177122706397,0.4426719840478564
medical_derma,2,3.107394616818554,0.5234296917915344,0.3631012625157824,0.47058823529411764
medical_derma,3,2.1855673402084235,0.6161515712738037,0.39319784589105433,0.5373878364905285
medical_derma,4,1.4325480266323065,0.6171485781669617,0.45653223709429797,0.49252243270189433
medical_derma,5,1.0727463593764706,0.6889331936836243,0.5033824078320566,0.5912263210368893
medical_derma,6,0.8603009015632217,0.7397806644439697,0.4737019557862649,0.6590229312063809
medical_derma,7,0.7393871249767416,0.6999002695083618,0.4596675925715739,0.6360917248255235
medical_derma,8,0.6679336122240203,0.7617148756980896,0.501672534693612,0.6859421734795613
medical_derma,9,0.5882851957288094,0.7696909308433533,0.5341042367974452,0.7008973080757727
medical_derma,10,0.5493690153238044,0.7597208619117737,0.504849124755448,0.6819541375872383
medical_derma,11,0.5498821558958457,0.7696909308433533,0.5554740763171677,0.6989032901296112
medical_derma,12,0.5304466726454311,0.7736789584159851,0.5554639181102881,0.6869391824526421
medical_derma,13,0.5279289010640505,0.7647058963775635,0.5274906687084673,0.6979062811565304
medical_derma,14,0.5170780329369471,0.776669979095459,0.51826199730181,0.6979062811565304
medical_derma,15,0.528795385668651,0.7657029032707214,0.5401121116577791,0.6669990029910269
medical_derma,16,0.4983960827747425,0.7637088894844055,0.5208204269094199,0.6809571286141576
medical_derma,17,0.4892713074186006,0.7647058963775635,0.5206198816269074,0.6899302093718843
medical_derma,18,0.4919663192679066,0.756729781627655,0.5094457771272759,0.6889332003988036
medical_derma,19,0.49599556152569135,0.7228314876556396,0.5195554566748946,0.6650049850448654
medical_derma,20,0.5210090263842243,0.7407776713371277,0.5648521668427992,0.6450648055832503
medical_derma,21,0.5189415015991597,0.7627118825912476,0.55448475401637,0.6829511465603191
medical_derma,22,0.5333452190535545,0.7427716851234436,0.5537389852378143,0.6640079760717846
medical_derma,23,0.5503670152931219,0.7547357678413391,0.5035165817367223,0.6570289132602194
medical_derma,24,0.502036874782891,0.7726819515228271,0.5352829176014188,0.7028913260219342
medical_derma,25,0.48769013655326904,0.7796609997749329,0.5794126733236803,0.6909272183449651
medical_derma,26,0.46556132386206084,0.7736789584159851,0.5776203057233502,0.6739780658025922
medical_derma,27,0.47694982467712344,0.776669979095459,0.5683716024465439,0.674975074775673
medical_derma,28,0.48754940043847234,0.7647058963775635,0.5424580936290538,0.6719840478564307
medical_derma,29,0.4942173970073985,0.7696909308433533,0.5496694941659813,0.6919242273180458
medical_derma,30,0.4693033817075741,0.7407776713371277,0.5302045002279193,0.6729810568295115
medical_derma,31,0.45736825502308387,0.7587238550186157,0.5689989136124968,0.678963110667996
medical_derma,32,0.4706759848709673,0.7587238550186157,0.5809282453310557,0.67098703888335
medical_derma,33,0.4523930470086342,0.7587238550186157,0.5517641661669764,0.6739780658025922
medical_derma,34,0.44128876564266917,0.7497507333755493,0.5635485566398916,0.6490528414755733
medical_derma,35,0.4481242531518445,0.7597208619117737,0.5655953799981903,0.6689930209371885
medical_derma,36,0.4531606378740058,0.7637088894844055,0.5655315347352818,0.6939182452642074
medical_derma,37,0.4526676702034938,0.7657029032707214,0.5650926778561438,0.6650049850448654
medical_derma,38,0.4297416613847804,0.7676969170570374,0.5370631826135339,0.6959122632103689
medical_derma,39,0.44627659191022984,0.7627118825912476,0.5497993271997956,0.6959122632103689
medical_derma,40,0.485766724996089,0.7547357678413391,0.5478850326625502,0.6610169491525424
medical_derma,41,0.48899997343124874,0.7647058963775635,0.538689676043306,0.6829511465603191
medical_derma,42,0.46272839076069533,0.7587238550186157,0.5613247608563768,0.6829511465603191
medical_derma,43,0.4477356956912564,0.7627118825912476,0.5946616689005448,0.6759720837487537
medical_derma,44,0.48754310005654006,0.7657029032707214,0.5961161841723903,0.6590229312063809
medical_derma,45,0.4551895122666221,0.7457627058029175,0.5887220434058841,0.6490528414755733
medical_derma,46,0.46929037027816994,0.7437686920166016,0.5438349369262718,0.6450648055832503
medical_derma,47,0.4653382397283241,0.7617148756980896,0.5769134298408304,0.6560319042871385
medical_derma,48,0.45516289242140423,0.7537387609481812,0.5181848996837287,0.6510468594217348
medical_derma,49,0.4747321088915972,0.7557327747344971,0.5525399553502598,0.678963110667996
medical_derma,50,0.46632076083839713,0.7627118825912476,0.5808570198499942,0.6959122632103689
medical_derma,51,0.5001843162843261,0.7477567195892334,0.553349119391274,0.6819541375872383
medical_derma,52,0.5200226700508392,0.7447656989097595,0.5536622901962481,0.6610169491525424
medical_derma,53,0.47196398316257193,0.7627118825912476,0.5665584431392394,0.646061814556331
