model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.310436,0.373247,0.198106,0.653318,3,3,0.921958,8.294770,0.000977,"[691, 0, 0, 2235, 495, 0, 0, 0]","[244, 624, 311, 579, 243, 284, 666, 470]"
client_1,test,0.410699,0.375000,0.245301,0.488746,3,2,0.891227,4.099670,0.005859,"[0, 1269, 1672, 0, 0, 0, 0, 480]","[244, 624, 311, 579, 243, 284, 666, 470]"
client_2,test,0.277404,0.249812,0.104539,0.622625,2,6,0.806173,2.751172,0.000000,"[0, 0, 0, 0, 0, 1291, 2130, 0]","[244, 624, 311, 579, 243, 284, 666, 470]"
avg,test,0.200234,0.179303,0.102241,0.951184,2,3,0.269510,0.564693,0.000000,"[167, 0, 0, 3254, 0, 0, 0, 0]","[244, 624, 311, 579, 243, 284, 666, 470]"
