dataset,num_samples_analyzed,border_edge_fraction_mean,border_edge_fraction_std,border_edge_fraction_p10,border_edge_fraction_p50,border_edge_fraction_p90,border_evidence_fraction_mean,border_evidence_fraction_std,border_evidence_fraction_p10,border_evidence_fraction_p50,border_evidence_fraction_p90,boundary_strength_mean,boundary_strength_std,boundary_strength_p10,boundary_strength_p50,boundary_strength_p90,bright_pixel_fraction_mean,bright_pixel_fraction_std,bright_pixel_fraction_p10,bright_pixel_fraction_p50,bright_pixel_fraction_p90,center_evidence_fraction_mean,center_evidence_fraction_std,center_evidence_fraction_p10,center_evidence_fraction_p50,center_evidence_fraction_p90,channel_abs_diff_mean,channel_abs_diff_std,channel_abs_diff_p10,channel_abs_diff_p50,channel_abs_diff_p90,contrast_weight_mean,contrast_weight_std,contrast_weight_p10,contrast_weight_p50,contrast_weight_p90,dark_pixel_fraction_mean,dark_pixel_fraction_std,dark_pixel_fraction_p10,dark_pixel_fraction_p50,dark_pixel_fraction_p90,diagnostic_salience_mean,diagnostic_salience_std,diagnostic_salience_p10,diagnostic_salience_p50,diagnostic_salience_p90,diagnostic_salience_between_sample_cv_mean,diagnostic_salience_between_sample_cv_std,diagnostic_salience_between_sample_cv_p10,diagnostic_salience_between_sample_cv_p50,diagnostic_salience_between_sample_cv_p90,edge_mean_mean,edge_mean_std,edge_mean_p10,edge_mean_p50,edge_mean_p90,edge_residual_corr_mean,edge_residual_corr_std,edge_residual_corr_p10,edge_residual_corr_p50,edge_residual_corr_p90,edge_weight_mean,edge_weight_std,edge_weight_p10,edge_weight_p50,edge_weight_p90,evidence_cv_mean,evidence_cv_std,evidence_cv_p10,evidence_cv_p50,evidence_cv_p90,evidence_mean_mean,evidence_mean_std,evidence_mean_p10,evidence_mean_p50,evidence_mean_p90,evidence_reliability_mean,evidence_reliability_std,evidence_reliability_p10,evidence_reliability_p50,evidence_reliability_p90,evidence_top10_rest_ratio_mean,evidence_top10_rest_ratio_std,evidence_top10_rest_ratio_p10,evidence_top10_rest_ratio_p50,evidence_top10_rest_ratio_p90,local_contrast_mean_mean,local_contrast_mean_std,local_contrast_mean_p10,local_contrast_mean_p50,local_contrast_mean_p90,masked_local_contrast_mean,masked_local_contrast_std,masked_local_contrast_p10,masked_local_contrast_p50,masked_local_contrast_p90,masked_texture_mean,masked_texture_std,masked_texture_p10,masked_texture_p50,masked_texture_p90,raw_dynamic_p95_p05_mean,raw_dynamic_p95_p05_std,raw_dynamic_p95_p05_p10,raw_dynamic_p95_p05_p50,raw_dynamic_p95_p05_p90,raw_mean_mean,raw_mean_std,raw_mean_p10,raw_mean_p50,raw_mean_p90,raw_std_mean,raw_std_std,raw_std_p10,raw_std_p50,raw_std_p90,residual_noise_mean_mean,residual_noise_mean_std,residual_noise_mean_p10,residual_noise_mean_p50,residual_noise_mean_p90,rgb_channel_std_mean,rgb_channel_std_std,rgb_channel_std_p10,rgb_channel_std_p50,rgb_channel_std_p90,shape_compactness_mean,shape_compactness_std,shape_compactness_p10,shape_compactness_p50,shape_compactness_p90,soft_mask_area_mean,soft_mask_area_std,soft_mask_area_p10,soft_mask_area_p50,soft_mask_area_p90,speckle_ratio_mean,speckle_ratio_std,speckle_ratio_p10,speckle_ratio_p50,speckle_ratio_p90,texture_mean_mean,texture_mean_std,texture_mean_p10,texture_mean_p50,texture_mean_p90,texture_weight_mean,texture_weight_std,texture_weight_p10,texture_weight_p50,texture_weight_p90
bloodmnist_224,480,0.42282814923673867,0.061038739195267526,0.3561751782894135,0.41392679512500763,0.5058116555213928,0.42884927466511724,0.060670681240603534,0.3640299826860428,0.4192957133054733,0.5112628757953644,0.5386702340096235,0.051104218374137776,0.47817109525203705,0.5348262190818787,0.599473363161087,0.011779536053127988,0.024070190241510473,0.0007154815131798388,0.005440848413854837,0.02876474875956774,0.5711507226650914,0.060670678720944206,0.4887371927499771,0.5807042419910431,0.6359700441360474,0.14546199705606946,0.013135274000848879,0.12921161353588104,0.1460898369550705,0.1598731368780136,0.3634516019995014,0.00022948450028012935,0.3631801903247833,0.3634559214115143,0.3637109935283661,0.0,0.0,0.0,0.0,0.0,0.2327465794980526,0.03991761937203794,0.18319975733757018,0.22923415899276733,0.282296296954155,0.17150678537599764,0.0,nan,nan,nan,0.24780966353913148,0.03758929923367173,0.20067526549100875,0.24761511385440826,0.2963696032762527,0.7504377295573552,0.01539360306026252,0.7290777325630188,0.7526559829711914,0.7677857339382171,0.33112449012696743,0.0005901025446453177,0.330457466840744,0.33111336827278137,0.3318223893642426,1.5981383820374806,0.26072984560401874,1.2987573504447938,1.5615110993385315,1.9285795331001283,0.12099286173470318,0.017890180905622673,0.09833998903632164,0.12101638689637184,0.14392702281475067,0.725458983083566,0.047881039419370074,0.6658478617668152,0.7253920435905457,0.7859857201576232,8.287606964508692,2.490496837113769,5.89910888671875,7.706512451171875,11.329376983642579,0.04415466119923318,0.00746556842839372,0.03439658619463444,0.044476211071014404,0.05307120606303215,0.08359315966566404,0.008903012755631254,0.07270790711045265,0.08339139446616173,0.09504696875810623,0.1500262223960211,0.013047952118002634,0.1341523826122284,0.1498635709285736,0.16744272559881213,0.5463596009338896,0.10768760955596064,0.3301960051059724,0.5882352590560913,0.6105882525444031,0.7173629144827525,0.04788634768975006,0.6613655030727387,0.7145981192588806,0.7892045617103577,0.18183727300104996,0.03316077936546536,0.11739012971520424,0.18897274881601334,0.21382633298635484,0.018151421623770148,0.003360144909923224,0.01414295369759202,0.01790616847574711,0.02236421462148428,0.11188288570847363,0.009886739333169704,0.0999160923063755,0.11215407401323318,0.12286560982465744,0.8794578585773707,0.06977488403734336,0.7848075687885284,0.8882410824298859,0.9600917935371399,0.36364538290848336,0.04330724802014722,0.30552893579006196,0.3643529713153839,0.4183514416217804,0.04930840770248324,0.0032783459892484416,0.04543125107884407,0.04937013424932957,0.05301412008702755,0.07496113021237155,0.009408584287629081,0.06302999407052993,0.0752611756324768,0.08576107323169709,0.30542390688012044,0.0003606187462279579,0.3049974203109741,0.30543071031570435,0.3058315396308899
dermamnist_224,480,0.4818181737015645,0.07305177289311733,0.3759401738643646,0.4882296025753021,0.5685513913631439,0.4919621504843235,0.07766944708597326,0.3770993143320084,0.4994776248931885,0.5839662432670594,0.3828557192037503,0.06680429892878152,0.3173308610916138,0.3736352473497391,0.469260385632515,0.007186287604012401,0.05718984329551776,0.0,0.0,0.00016143175744218798,0.5080378505090872,0.07766944403039248,0.4160337597131729,0.5005223453044891,0.6229007720947266,0.1604712964501232,0.0734843919067496,0.07282906100153923,0.14647125452756882,0.2623437374830246,0.36566615911821526,0.0010978910113558866,0.3645614504814148,0.36543096601963043,0.3668897062540054,4.534040239529228e-05,0.0004753137113632409,0.0,0.0,0.0,0.14456339534372092,0.03551070787536469,0.11129384860396385,0.13811662793159485,0.18688781708478935,0.24564105826735835,0.0,nan,nan,nan,0.22536449106410145,0.05077851303734479,0.17207189947366713,0.21499273926019669,0.29233585298061376,0.6911385380352537,0.07589444446912319,0.5891362428665161,0.7169721126556396,0.7598061621189117,0.32542991631974777,0.0028231487423411705,0.322283661365509,0.32603469491004944,0.32827056050300596,1.5828123112519583,0.4521881317134299,0.9521226108074188,1.602128267288208,2.156698226928711,0.10691992430947721,0.023265110870329786,0.08252948522567749,0.10278671234846115,0.13832306414842607,0.5679458307102323,0.05642503098737744,0.5082066893577576,0.5617557466030121,0.638184678554535,7.72666056950887,3.2059644114621313,3.9934587478637695,7.256026268005371,11.73680467605591,0.0373667849577032,0.008983344671237454,0.028423259779810906,0.03583183325827122,0.04966349080204965,0.05973711857805029,0.011182941058598215,0.0493349976837635,0.058323025703430176,0.07379211783409119,0.10579250634958347,0.017031649245118186,0.08837039843201637,0.10413933545351028,0.12642301470041276,0.35243600929776825,0.12804960371133148,0.19333332479000093,0.34444446861743927,0.5230065107345582,0.6221307820950945,0.07378354216604496,0.527601033449173,0.6187183260917664,0.7146169662475587,0.11329550875040392,0.04334746713573439,0.0647503785789013,0.10810091346502304,0.1672216966748238,0.02690537060261704,0.009701042403016103,0.01739835422486067,0.02524240594357252,0.037724302336573604,0.1308042868350943,0.06207737573480133,0.05816876515746117,0.1177881546318531,0.21745913773775102,0.916264558583498,0.05167662897158992,0.8515005588531495,0.925803929567337,0.9740151524543762,0.4501186774422725,0.06862927895727265,0.3581469029188156,0.4591623544692993,0.5345342874526978,0.08094492493352543,0.0156841593743787,0.06516353115439415,0.07758504524827003,0.09842408895492553,0.06461913695093244,0.01213611116595235,0.051652926951646805,0.06251803785562515,0.08103619515895844,0.3089039241274198,0.0017252586470190886,0.30716798901557923,0.30853430926799774,0.31082660853862765
organcmnist_224,480,0.4160351998793582,0.0681297648180816,0.3369787931442261,0.410912349820137,0.4953049927949906,0.41681339976688225,0.06851313055518739,0.33719333112239835,0.41227929294109344,0.4955481886863709,0.4962503028723101,0.11887188290861864,0.3548145473003388,0.4881637394428253,0.6716327011585237,0.06295552168809687,0.13565651288281141,0.0,0.017408721148967743,0.1302156388759614,0.5831865935275952,0.068513135249355,0.50445197224617,0.5877206921577454,0.6628066658973694,0.0,0.0,0.0,0.0,0.0,0.3633511035392682,0.0013132160856657636,0.36194089353084563,0.3629904091358185,0.3649105906486511,0.12131119274659265,0.16404237883410408,0.0,0.03674067184329033,0.39858100712299355,0.21059992855104306,0.0804509448838001,0.11848464831709862,0.19496483355760574,0.3267611414194107,0.3820083967607674,0.0,nan,nan,nan,0.26798000728401045,0.06470465344286769,0.18369333595037463,0.26918619871139526,0.34729748070240024,0.6998791343222062,0.07123997077883097,0.6060684740543365,0.7129505276679993,0.776634681224823,0.3313829162468513,0.0033768422707371455,0.3273728132247925,0.33231043815612793,0.33500916361808775,1.213491826504469,0.3167642143900615,0.8554323732852935,1.1738275289535522,1.5799943804740906,0.12900443074759096,0.030532664698287925,0.08817659094929695,0.1303088665008545,0.16496519148349764,0.6799311119442185,0.09991272532966111,0.5687950909137726,0.6737366914749146,0.8230094909667969,5.611567990481854,2.119669750571739,3.6508278369903566,5.135251760482788,7.651759338378906,0.045224924236147976,0.01279885182636274,0.026827572844922543,0.04668414779007435,0.060138145089149476,0.07169921744692449,0.019963135975651115,0.047073626145720485,0.07031004130840302,0.09994585067033769,0.13403442472529908,0.028033180468144663,0.10210743993520736,0.1305013969540596,0.17727328091859818,0.6763929847627879,0.18176832932785456,0.4427450716495514,0.6941176652908325,0.9101960837841034,0.4876667944403986,0.1387530764593691,0.31803300976753235,0.4860410839319229,0.63325434923172,0.22716669239259016,0.06844659095739788,0.14264622330665588,0.2188657745718956,0.3229529052972794,0.01968394806802583,0.010994026240152905,0.007661186438053846,0.01743428036570549,0.03388932757079602,0.0,0.0,0.0,0.0,0.0,0.8648875844664872,0.1094089313905722,0.7672225534915924,0.8883088529109955,0.9598730921745301,0.4092062167823315,0.06844564407851798,0.31670905351638795,0.41478431224823,0.49070274233818056,0.047872704993157336,0.018760236673520135,0.027726963348686694,0.04271985962986946,0.07015102207660676,0.07815985816220443,0.016391526849440084,0.05655233897268772,0.07914525270462036,0.09800698235630989,0.30526597996552784,0.0020636256078000645,0.3030499130487442,0.3046991527080536,0.3077166199684143
organsmnist_224,480,0.4150067426885168,0.06501202597900774,0.34622539281845094,0.4021967947483063,0.4975620418787003,0.41630387865006924,0.06568695565198701,0.34647991955280305,0.40264108777046204,0.4991272240877152,0.47305915129060544,0.11626357309313223,0.34828187227249147,0.4472118318080902,0.642566466331482,0.06470893294749658,0.14206714067443735,0.0,0.013273278251290321,0.1607401967048646,0.5836961206669609,0.06568695132257288,0.5008728504180908,0.597358912229538,0.6535199761390686,0.0,0.0,0.0,0.0,0.0,0.36324955709278584,0.0013108618059309279,0.36191892623901367,0.36282579600811005,0.3649422347545624,0.10884710836125654,0.16934988527116845,0.0,0.0272042416036129,0.4082250416278842,0.19416027574334294,0.0750210815107005,0.11657187715172768,0.1802382469177246,0.29136422574520116,0.3863873666207391,0.0,nan,nan,nan,0.263185178504015,0.062148255500234055,0.17981216460466384,0.26127441227436066,0.347016054391861,0.6964623620112737,0.07449192361492579,0.6065617620944976,0.7070754170417786,0.7818846821784973,0.3316440374280016,0.0033707886634690215,0.3272914081811905,0.332733690738678,0.3350656688213348,1.1996550052116315,0.35127679272520035,0.8589238286018371,1.1413769721984863,1.6162514209747314,0.12652313645618657,0.029429972845590693,0.08661407232284546,0.12596768140792847,0.16590258330106736,0.6583661846195658,0.09411420560025545,0.5491337537765503,0.6494986712932587,0.7875351846218109,5.543520938853423,2.483818444912382,3.6416590929031374,4.941353797912598,8.177817630767823,0.0437940033172102,0.012237519631150563,0.02756938934326172,0.04363372176885605,0.06010843850672245,0.06806287153934439,0.019743872127394188,0.04527485407888889,0.06489783897995949,0.09513466581702235,0.12828741610671082,0.027709677906189924,0.0994031310081482,0.12263049557805061,0.17003027945756913,0.657136449807634,0.15860582089843034,0.4388235300779343,0.6901960670948029,0.8278431475162507,0.4971439451444894,0.15115741385908926,0.2894316464662552,0.49418821930885315,0.66136594414711,0.21849462256844465,0.056358085018828066,0.1469851925969124,0.2206958308815956,0.2917644172906876,0.018567939693457446,0.010383363926754987,0.007790086092427373,0.016192329116165638,0.03181382641196251,0.0,0.0,0.0,0.0,0.0,0.8524620228291799,0.11482486906582604,0.7122719883918762,0.8815293610095978,0.9573461413383484,0.4217742048514386,0.07397574178256636,0.3095022737979889,0.43285705149173737,0.5139379441738129,0.046422036360794054,0.01872660064660936,0.027412966825067997,0.04036841727793217,0.07060329765081405,0.07670604875311256,0.016057228386635026,0.05546465143561363,0.07717497646808624,0.09811101257801055,0.3051064044237137,0.002059927138204744,0.3030154347419739,0.304440513253212,0.307766330242157
chaoshengmnist_224,480,0.23418255381596584,0.0675401744233164,0.15226670503616335,0.23473770916461945,0.31294042468070987,0.23398355528867493,0.0671729213249696,0.15244410187005997,0.23436632752418518,0.31254476904869083,0.5604261298974355,0.07313174809159657,0.4719669371843338,0.5550549328327179,0.6586602985858917,0.001661775548852044,0.0043325031117869735,5.9789541410282254e-05,0.00037866708589717746,0.003852439438924199,0.766016445060571,0.0671729213640813,0.6874553143978119,0.7656336426734924,0.8475557982921601,0.009926815289926456,0.009420749745654591,0.00030412165797315537,0.009435231797397137,0.017962215282022957,0.3669094555079937,0.0010863963530737002,0.3654694229364395,0.36699478328227997,0.3682655692100525,0.427091014217486,0.1969876403568814,0.17196668088436126,0.43180006742477417,0.6803013384342194,0.19044987487917145,0.04959600190330891,0.13163718134164812,0.1866859421133995,0.25428280532360076,0.2604149744420926,0.0,nan,nan,nan,0.24823173525122305,0.053484065023178776,0.17436836659908295,0.24845919758081436,0.3180149465799332,0.7396191308895746,0.05944691908447741,0.6607305109500885,0.7475692927837372,0.8086776077747345,0.3222328690811992,0.0027935900457759615,0.31874571144580843,0.3220134675502777,0.3259358495473862,1.2963218479106824,0.26206430085844223,1.0058266758918764,1.235664963722229,1.6653292417526246,0.11873943395136545,0.025309579289562505,0.08397723212838173,0.11912960186600685,0.15158327221870424,0.6404651731252671,0.0648148232932802,0.5542050778865815,0.6395982503890991,0.7208296954631805,6.530592287083467,2.2707560171263896,4.497679710388184,5.7992236614227295,9.511581897735596,0.04548615793076654,0.009631604508845452,0.032599692419171336,0.04560183919966221,0.057705297321081164,0.08791569846216589,0.012281403779866666,0.07316296696662904,0.08626504987478256,0.10330574065446854,0.14186857265109817,0.016701473727908586,0.12099637165665626,0.1406678408384323,0.16253092736005784,0.5625633349952598,0.10245362026606972,0.4325490236282349,0.5633986592292786,0.6890195786952973,0.17181776312645525,0.06476247071219363,0.09447354674339295,0.1656215861439705,0.2595472723245621,0.1973416613570104,0.03711655365225505,0.15078240036964416,0.19752614945173264,0.24307808727025987,0.03559874925607195,0.008294311859229724,0.02596504595130682,0.0346780139952898,0.046436014026403426,0.007759682574876218,0.007245264619145058,0.0002564952475950122,0.007408883422613144,0.01429915176704526,0.7399333025639255,0.1219275857967983,0.5658676147460938,0.7499999105930328,0.8954857230186463,0.3484140457895895,0.05555949779764234,0.2729650318622589,0.35284656286239624,0.4172715425491333,0.09870629890356213,0.01551994345969458,0.07813424766063691,0.09992515295743942,0.11807932257652283,0.07085859802706788,0.01425250437848623,0.05155791379511356,0.07119550183415413,0.0894189864397049,0.31085767497618993,0.0017071944669197732,0.30859473049640657,0.31099171936511993,0.31298871636390685
