domain,epoch,train_loss,val_accuracy,val_balanced_accuracy,val_collapse_ratio
medical_derma,1,5.694458188149087,0.5074775815010071,0.37116689247836787,0.4077766699900299
medical_derma,2,3.4435828305080167,0.6061814427375793,0.44180990855463925,0.4985044865403789
medical_derma,3,2.311885116289835,0.6181455850601196,0.3771744743641699,0.5523429710867398
medical_derma,4,1.5543116093260323,0.6500498652458191,0.5337756742908969,0.5533399800598205
medical_derma,5,1.0702301340026932,0.6939182281494141,0.5024922289559293,0.5982053838484547
medical_derma,6,0.8549671141026414,0.731804609298706,0.555940896456119,0.6281156530408774
medical_derma,7,0.6962846912006619,0.7696909308433533,0.5312852390135763,0.6799601196410767
medical_derma,8,0.6244842456958085,0.7517447471618652,0.5076156358357764,0.6679960119641076
medical_derma,9,0.597282394381891,0.7587238550186157,0.5100975432357165,0.6600199401794616
medical_derma,10,0.5709512381576107,0.7627118825912476,0.5119757344581701,0.7018943170488534
medical_derma,11,0.5670051622598304,0.7666999101638794,0.5614430445812179,0.6580259222333001
medical_derma,12,0.5535881335493398,0.7487537264823914,0.49415146007651867,0.6989032901296112
medical_derma,13,0.5539601625279453,0.7706879377365112,0.5310858118820648,0.6829511465603191
medical_derma,14,0.5307486664641511,0.7607178688049316,0.5113228206905023,0.6839481555333998
medical_derma,15,0.5270144456937171,0.7776669859886169,0.5684214376251847,0.6879361914257228
medical_derma,16,0.5063445552135136,0.7607178688049316,0.5302986167154786,0.6660019940179461
medical_derma,17,0.4943973742403112,0.7666999101638794,0.5590906119009164,0.6829511465603191
medical_derma,18,0.49165949054020897,0.7686939239501953,0.5442781905311179,0.67098703888335
medical_derma,19,0.48164033422341473,0.7686939239501953,0.557820363909357,0.6859421734795613
medical_derma,20,0.4774757661356027,0.7716849446296692,0.5551850579953624,0.6739780658025922
medical_derma,21,0.5009531092504232,0.7716849446296692,0.5710461616784802,0.6929212362911267
medical_derma,22,0.4783417498851037,0.7637088894844055,0.5650641982023715,0.6560319042871385
medical_derma,23,0.5023810660020761,0.7716849446296692,0.5882888247056866,0.6550348953140578
medical_derma,24,0.4923209512864912,0.7557327747344971,0.5279636971674443,0.6929212362911267
medical_derma,25,0.5143120690225381,0.7647058963775635,0.5193148023358797,0.6759720837487537
medical_derma,26,0.4940208112511295,0.7597208619117737,0.5707493489694895,0.6550348953140578
medical_derma,27,0.46821870127740933,0.7407776713371277,0.5302975617963909,0.6799601196410767
medical_derma,28,0.5007223776374579,0.7367896437644958,0.5577376860749226,0.6580259222333001
medical_derma,29,0.5001187208708707,0.7557327747344971,0.5507764520645082,0.654037886340977
medical_derma,30,0.48582356995516845,0.7457627058029175,0.5598651880853286,0.6689930209371885
medical_derma,31,0.5070113651555462,0.7696909308433533,0.5932134125342557,0.6679960119641076
medical_derma,32,0.48677941479253517,0.7846460342407227,0.5503596810388379,0.6939182452642074
medical_derma,33,0.5068398645333494,0.7627118825912476,0.5327986421663237,0.6809571286141576
medical_derma,34,0.5097568401370628,0.7517447471618652,0.5659050024389602,0.6450648055832503
medical_derma,35,0.4652151478175619,0.776669979095459,0.5595631787669259,0.6809571286141576
medical_derma,36,0.43964338942296805,0.776669979095459,0.5470396146040174,0.6869391824526421
medical_derma,37,0.44810039777294347,0.756729781627655,0.5690273005261296,0.6600199401794616
medical_derma,38,0.4701798811812229,0.7577268481254578,0.5465295469979311,0.711864406779661
medical_derma,39,0.4834107105063698,0.7676969170570374,0.5387302013765715,0.6959122632103689
medical_derma,40,0.4398344224370698,0.7627118825912476,0.5648957473313445,0.6879361914257228
medical_derma,41,0.4535654377874369,0.7746759653091431,0.569656740499832,0.6889332003988036
medical_derma,42,0.4676893524696913,0.7617148756980896,0.5473840419976251,0.6689930209371885
medical_derma,43,0.4825380416030089,0.7308076024055481,0.5454384908717461,0.6440677966101694
medical_derma,44,0.4526954009518638,0.7347956299781799,0.5589825011370679,0.6311066799601196
medical_derma,45,0.4659839284790894,0.7587238550186157,0.5651961115661349,0.6480558325024925
medical_derma,46,0.47677549683232784,0.7686939239501953,0.5809165600734687,0.6819541375872383
medical_derma,47,0.44684478413859635,0.7557327747344971,0.5450283265271556,0.6590229312063809
medical_derma,48,0.4704154012792543,0.7617148756980896,0.548345579141832,0.6799601196410767
medical_derma,49,0.45632244776910463,0.7627118825912476,0.5670192225227353,0.6919242273180458
medical_derma,50,0.42590915153433867,0.7467597126960754,0.5638702405681328,0.638085742771685
medical_derma,51,0.4387216526439191,0.7647058963775635,0.559199988356897,0.678963110667996
medical_derma,52,0.4342762082581243,0.7617148756980896,0.540375454661169,0.6909272183449651
medical_derma,53,0.44157181608535706,0.7637088894844055,0.5421587916904077,0.67098703888335
medical_derma,54,0.43699322120939527,0.7657029032707214,0.5576241489590437,0.6610169491525424
medical_derma,55,0.40961919667310104,0.7517447471618652,0.5613368708216483,0.6640079760717846
medical_derma,56,0.422741024282701,0.7676969170570374,0.5847940843257003,0.6719840478564307
medical_derma,57,0.43576348666221315,0.7537387609481812,0.5660368156855277,0.6590229312063809
medical_derma,58,0.42820945903137847,0.7447656989097595,0.5721669652583001,0.6560319042871385
medical_derma,59,0.42475242115928286,0.7347956299781799,0.5872582172347981,0.6570289132602194
medical_derma,60,0.43969698771526017,0.7497507333755493,0.5802750364811254,0.6669990029910269
medical_derma,61,0.42733670237130034,0.7417746782302856,0.5727921929327081,0.6360917248255235
medical_derma,62,0.4381503138015456,0.7497507333755493,0.5698940245778653,0.6420737786640079
medical_derma,63,0.4130007812278288,0.7527417540550232,0.5498637468192503,0.646061814556331
medical_derma,64,0.4448553705132091,0.7507477402687073,0.5522749272163792,0.6480558325024925
medical_derma,65,0.45773980075067333,0.7657029032707214,0.5577726385688915,0.6819541375872383
medical_derma,66,0.45062529744716756,0.7607178688049316,0.5470752015248502,0.6799601196410767
medical_derma,67,0.4338977464522719,0.7617148756980896,0.5513890207098638,0.67098703888335
medical_derma,68,0.405608344089973,0.7537387609481812,0.5740859484419204,0.6650049850448654
medical_derma,69,0.41170242080015446,0.7657029032707214,0.5685762230258717,0.67098703888335
medical_derma,70,0.42715758646250757,0.7497507333755493,0.5609989057295849,0.6610169491525424
medical_derma,71,0.43216747402787564,0.7607178688049316,0.5615238792053779,0.6729810568295115
medical_derma,72,0.47464996761324335,0.7587238550186157,0.5727899355534015,0.6570289132602194
medical_derma,73,0.43499051329411437,0.7517447471618652,0.5578225211714674,0.6640079760717846
medical_derma,74,0.4302046374177667,0.7607178688049316,0.5906287385210102,0.6729810568295115
medical_derma,75,0.4810463541437356,0.7587238550186157,0.5890528116523432,0.6759720837487537
medical_derma,76,0.4524511465829637,0.7666999101638794,0.5755190217719492,0.6630109670987039
medical_derma,77,0.45449924195937325,0.7377866506576538,0.5827549594528517,0.6430707876370887
medical_derma,78,0.4370929552618304,0.7537387609481812,0.5812557539723816,0.6550348953140578
medical_derma,79,0.4298216486531793,0.7517447471618652,0.5812649457848521,0.6590229312063809
medical_derma,80,0.41798120498470087,0.7427716851234436,0.5474184707205785,0.6669990029910269
natural_cifar_3client,1,2.1417401938699054,0.7836490273475647,0.6728253074857291,0.5563310069790628
natural_cifar_3client,2,1.3731369128730135,0.8095712661743164,0.6864265089089445,0.5722831505483549
natural_cifar_3client,3,0.8893157295192616,0.8364905118942261,0.6591520121965087,0.5902293120638086
natural_cifar_3client,4,0.6237882915918814,0.8454636335372925,0.6855112912489962,0.6041874376869392
natural_cifar_3client,5,0.4542557146233806,0.8843469619750977,0.6842375412633023,0.6420737786640079
natural_cifar_3client,6,0.3231074346469475,0.8783649206161499,0.702488604713429,0.6261216350947159
natural_cifar_3client,7,0.26399257705328005,0.8773679137229919,0.705955486166259,0.6311066799601196
natural_cifar_3client,8,0.21157464917535973,0.8843469619750977,0.7177944974197901,0.6321036889332003
natural_cifar_3client,9,0.18313382842009257,0.8683947920799255,0.7019107651426152,0.6251246261216351
natural_cifar_3client,10,0.16859407206821564,0.8703888058662415,0.6911695895302453,0.6271186440677966
natural_cifar_3client,11,0.15241996250888226,0.8813559412956238,0.7197151762725534,0.6350947158524427
natural_cifar_3client,12,0.1397994334991706,0.8813559412956238,0.7268326531792573,0.6321036889332003
natural_cifar_3client,13,0.14094696501547724,0.8664007782936096,0.7518943185219531,0.6111665004985045
natural_cifar_3client,14,0.1250230501143657,0.8743768930435181,0.731274774131917,0.634097706879362
natural_cifar_3client,15,0.11693017486287742,0.875373899936676,0.7417293510970325,0.6321036889332003
natural_cifar_3client,16,0.10911583829635524,0.8773679137229919,0.7598908929119703,0.6221335992023929
natural_cifar_3client,17,0.10222448499622606,0.8903290033340454,0.7711427452645251,0.6311066799601196
natural_cifar_3client,18,0.09562427859763471,0.8813559412956238,0.7361714861714862,0.6281156530408774
natural_cifar_3client,19,0.09732799578856278,0.875373899936676,0.7391955007880066,0.6261216350947159
natural_cifar_3client,20,0.09406429076434644,0.8863409757614136,0.7492814789067717,0.6350947158524427
natural_cifar_3client,21,0.08213082924474574,0.8903290033340454,0.7611632654958183,0.6350947158524427
natural_cifar_3client,22,0.07534571035482139,0.8893319964408875,0.7709883434707792,0.6350947158524427
natural_cifar_3client,23,0.0794457740017346,0.8853439688682556,0.7753004659327845,0.6321036889332003
natural_cifar_3client,24,0.08196028197574703,0.8853439688682556,0.7757964180680809,0.6350947158524427
natural_cifar_3client,25,0.08034044171670066,0.8883349895477295,0.7796691219407846,0.6350947158524427
natural_cifar_3client,26,0.07085250327726464,0.8833499550819397,0.7624095601847358,0.6281156530408774
natural_cifar_3client,27,0.07046618770031236,0.8953140377998352,0.7629243501608842,0.6430707876370887
natural_cifar_3client,28,0.062442288732025106,0.8923230171203613,0.7644624769917511,0.6430707876370887
natural_cifar_3client,29,0.06727781009173042,0.8843469619750977,0.7474360523540851,0.6331006979062812
natural_cifar_3client,30,0.06615868998914468,0.8773679137229919,0.747091466880694,0.6291126620139581
natural_cifar_3client,31,0.06399464553329189,0.8973080515861511,0.7886234774993557,0.6440677966101694
natural_cifar_3client,32,0.06736488220515427,0.8933200240135193,0.7563192172091471,0.6370887337986042
natural_cifar_3client,33,0.06990319156342198,0.8893319964408875,0.7525729634628933,0.6420737786640079
natural_cifar_3client,34,0.06571084476366217,0.8863409757614136,0.7515221344261157,0.638085742771685
natural_cifar_3client,35,0.05675434658870864,0.8903290033340454,0.7776095088741458,0.634097706879362
natural_cifar_3client,36,0.05389336971516903,0.8823529481887817,0.7666897842541872,0.6281156530408774
natural_cifar_3client,37,0.05158512103322809,0.8913260102272034,0.7585715211007952,0.6390827517447657
natural_cifar_3client,38,0.051849246775247375,0.8813559412956238,0.7368121329479643,0.6311066799601196
natural_cifar_3client,39,0.05526862173328322,0.8973080515861511,0.7859910265062489,0.6430707876370887
