model,dataset,n,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,top_pred_fraction,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,true_counts,pred_counts
client_0,source_test,2005,0.021446,0.159242,0.026506,0.895262,3,3,0.895262,0.754670,1.875756,0.003183,"[66, 103, 220, 23, 223, 1341, 29]","[148, 0, 0, 1795, 62, 0, 0]"
client_0,public_test,685,0.102190,0.140845,0.027248,0.967883,3,3,0.967883,0.757983,1.948316,0.034646,"[128, 128, 103, 71, 81, 101, 73]","[16, 0, 0, 663, 6, 0, 0]"
client_1,source_test,2005,0.066334,0.160125,0.030673,0.634414,2,1,0.634414,0.819303,2.473911,0.000640,"[66, 103, 220, 23, 223, 1341, 29]","[0, 1272, 733, 0, 0, 0, 0]"
client_1,public_test,685,0.192701,0.154635,0.074449,0.718248,2,1,0.718248,0.679999,1.268089,0.000014,"[128, 128, 103, 71, 81, 101, 73]","[0, 492, 193, 0, 0, 0, 0]"
client_2,source_test,2005,0.577057,0.210008,0.122725,0.788529,2,5,0.788529,0.888691,5.286525,0.001708,"[66, 103, 220, 23, 223, 1341, 29]","[0, 0, 0, 0, 0, 1581, 424]"
client_2,public_test,685,0.157664,0.169034,0.068371,0.664234,2,5,0.664234,0.793446,2.571240,0.008186,"[128, 128, 103, 71, 81, 101, 73]","[0, 0, 0, 0, 0, 455, 230]"
avg,source_test,2005,0.668828,0.142857,0.114508,1.000000,1,5,1.000000,0.324329,0.539030,0.071431,"[66, 103, 220, 23, 223, 1341, 29]","[0, 0, 0, 0, 0, 2005, 0]"
avg,public_test,685,0.147445,0.142857,0.036714,1.000000,1,5,1.000000,0.265407,0.384159,0.028133,"[128, 128, 103, 71, 81, 101, 73]","[0, 0, 0, 0, 0, 685, 0]"
