model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.230400,0.230400,0.108943,0.398300,3,2,0.584960,1.170011,0.000000,"[2265, 3752, 3983, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_1,test,0.177300,0.177300,0.082673,0.419100,3,4,0.523886,0.768881,0.000000,"[0, 0, 0, 4044, 4191, 1765, 0, 0, 0, 0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
client_2,test,0.115600,0.115600,0.039016,0.941700,2,8,0.931682,5.209160,0.000000,"[0, 0, 0, 0, 0, 0, 0, 0, 9417, 583]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
avg,test,0.111100,0.111100,0.071345,0.780400,8,8,0.290077,0.517584,0.000000,"[252, 425, 329, 594, 209, 235, 0, 0, 7804, 152]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
