model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,pred_counts,support
client_0,test,0.140150,0.365621,0.097628,0.680798,3,4,0.929249,6.464222,0.003906,"[273, 0, 0, 367, 1365, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_1,test,0.153616,0.271548,0.108420,0.873815,2,2,0.976387,8.409806,0.009766,"[0, 253, 1752, 0, 0, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_2,test,0.679801,0.265690,0.223754,0.981546,2,5,0.996334,12.829427,0.132812,"[0, 0, 0, 0, 0, 1968, 37]","[66, 103, 220, 23, 223, 1341, 29]"
avg,test,0.668828,0.142857,0.114508,1.000000,1,5,0.275434,0.567162,0.467407,"[0, 0, 0, 0, 0, 2005, 0]","[66, 103, 220, 23, 223, 1341, 29]"
