dataset,backbone,k,acc,macro_f1,amp_enabled
organsmnist_224,resnet,5,0.550810014728,0.475188612938,true
organsmnist_224,resnet,6,0.551376458593,0.491265028715,true
organsmnist_224,resnet,7,0.527472527473,0.422974228859,true
organsmnist_224,convnext,1,0.305199954684,0.084571696818,true
organsmnist_224,convnext,2,0.441939503795,0.207638084888,true
organsmnist_224,convnext,3,0.517842981761,0.319957703352,true
organsmnist_224,convnext,4,0.558740228843,0.435972213745,true
organsmnist_224,convnext,5,0.593293304634,0.507951021194,true
organsmnist_224,convnext,6,0.599184320834,0.533563315868,true
organsmnist_224,convnext,7,0.605755069673,0.561336219311,true
organsmnist_224,vit_t,1,0.296476719157,0.086231939495,true
organsmnist_224,vit_t,2,0.417469128809,0.199116125703,true
organsmnist_224,vit_t,3,0.459159397304,0.281396090984,true
organsmnist_224,vit_t,4,0.503002152487,0.405684381723,true
organsmnist_224,vit_t,5,0.533250254900,0.471111297607,true
organsmnist_224,vit_t,6,0.539821003739,0.496649056673,true
organsmnist_224,vit_t,7,0.544579132208,0.522660970688,true
organsmnist_224,swin_tiny,1,0.296929874249,0.085341326892,true
organsmnist_224,swin_tiny,2,0.437974396737,0.205931723118,true
organsmnist_224,swin_tiny,3,0.516256938937,0.317032217979,true
organsmnist_224,swin_tiny,4,0.571201993882,0.451705276966,true
organsmnist_224,swin_tiny,5,0.603376005438,0.521594464779,true
organsmnist_224,swin_tiny,6,0.610966353234,0.549559056759,true
organsmnist_224,swin_tiny,7,0.627733091651,0.584356784821,true
chaoshengmnist_224,resnet,1,0.256064690027,0.123131796718,true
chaoshengmnist_224,resnet,2,0.310871518419,0.184789717197,true
chaoshengmnist_224,resnet,3,0.349505840072,0.240584924817,true
chaoshengmnist_224,resnet,4,0.389937106918,0.300768077374,true
chaoshengmnist_224,resnet,5,0.431266846361,0.357088327408,true
chaoshengmnist_224,resnet,6,0.469002695418,0.423500806093,true
chaoshengmnist_224,resnet,7,0.475292003594,0.453614294529,true
chaoshengmnist_224,convnext,1,0.246181491465,0.112815663218,true
chaoshengmnist_224,convnext,2,0.294699011680,0.169101566076,true
chaoshengmnist_224,convnext,3,0.324348607367,0.223011493683,true
chaoshengmnist_224,convnext,4,0.366576819407,0.285475462675,true
chaoshengmnist_224,convnext,5,0.415094339623,0.343752086163,true
chaoshengmnist_224,convnext,6,0.417789757412,0.377715826035,true
chaoshengmnist_224,convnext,7,0.430368373765,0.409955501556,true
chaoshengmnist_224,vit_t,1,0.255166217430,0.124981112778,true
chaoshengmnist_224,vit_t,2,0.309973045822,0.184794187546,true
chaoshengmnist_224,vit_t,3,0.345013477089,0.237250640988,true
chaoshengmnist_224,vit_t,4,0.375561545373,0.287925839424,true
chaoshengmnist_224,vit_t,5,0.425876010782,0.346341311932,true
chaoshengmnist_224,vit_t,6,0.445642407907,0.390970677137,true
chaoshengmnist_224,vit_t,7,0.462713387242,0.425154000521,true
chaoshengmnist_224,swin_tiny,1,0.247079964061,0.105646565557,true
chaoshengmnist_224,swin_tiny,2,0.300089847260,0.166573882103,true
chaoshengmnist_224,swin_tiny,3,0.329739442947,0.219550341368,true
chaoshengmnist_224,swin_tiny,4,0.371967654987,0.283907234669,true
chaoshengmnist_224,swin_tiny,5,0.421383647799,0.346414625645,true
chaoshengmnist_224,swin_tiny,6,0.459119496855,0.415826082230,true
chaoshengmnist_224,swin_tiny,7,0.483378256963,0.464956760406,true
