k,received_client_ids,acc,macro_f1,loss,num_samples,amp_enabled
1,[0],0.16924875767319497,0.036196548491716385,9.96380507266511,3421,False
2,"[0, 1]",0.07132417421806489,0.01763005740940571,2.9989325904037756,3421,False
3,"[0, 1, 2]",0.09090909090909091,0.02083333395421505,3.826246993857425,3421,False
4,"[0, 1, 2, 3]",0.1373867290266004,0.03019789233803749,3.769734578883916,3421,False
5,"[0, 1, 2, 3, 4]",0.1373867290266004,0.03019789233803749,3.052079591302278,3421,False
6,"[0, 1, 2, 3, 4, 5]",0.1373867290266004,0.03019789233803749,2.8707386302306825,3421,False
7,"[0, 1, 2, 3, 4, 5, 6]",0.1373867290266004,0.03019789233803749,2.8819526452413258,3421,False
