backbone,method,dataset,client_setting,client_average_acc
ResNet,robustmerge,Organ-C,Avg,0.1958
ResNet,robustmerge,Organ-S,K=3,0.2680
ResNet,robustmerge,Organ-S,K=5,0.2227
ResNet,robustmerge,Organ-S,K=7,0.2301
ResNet,robustmerge,Organ-S,Avg,0.2403
ResNet,robustmerge,Ultrasound,K=3,0.2189
ResNet,robustmerge,Ultrasound,K=5,0.2231
ResNet,robustmerge,Ultrasound,K=7,0.1707
ResNet,robustmerge,Ultrasound,Avg,0.2042
ResNet,LAMP-Merge,Blood,K=3,0.8002
ResNet,LAMP-Merge,Blood,K=5,0.7999
ResNet,LAMP-Merge,Blood,K=7,0.8007
ResNet,LAMP-Merge,Blood,Avg,0.8003
ResNet,LAMP-Merge,Derma,K=3,0.6745
ResNet,LAMP-Merge,Derma,K=5,0.6761
ResNet,LAMP-Merge,Derma,K=7,0.6763
ResNet,LAMP-Merge,Derma,Avg,0.6756
ResNet,LAMP-Merge,Organ-C,K=3,0.6074
ResNet,LAMP-Merge,Organ-C,K=5,0.6069
ResNet,LAMP-Merge,Organ-C,K=7,0.6076
ResNet,LAMP-Merge,Organ-C,Avg,0.6073
ResNet,LAMP-Merge,Organ-S,K=3,0.5531
ResNet,LAMP-Merge,Organ-S,K=5,0.5524
ResNet,LAMP-Merge,Organ-S,K=7,0.5517
ResNet,LAMP-Merge,Organ-S,Avg,0.5524
ResNet,LAMP-Merge,Ultrasound,K=3,0.4762
ResNet,LAMP-Merge,Ultrasound,K=5,0.4762
ResNet,LAMP-Merge,Ultrasound,K=7,0.4762
ResNet,LAMP-Merge,Ultrasound,Avg,0.4762
ConvNeXt,avg,Blood,K=3,0.1565
ConvNeXt,avg,Blood,K=5,0.1122
ConvNeXt,avg,Blood,K=7,0.1384
ConvNeXt,avg,Blood,Avg,0.1357
ConvNeXt,avg,Derma,K=3,0.2966
ConvNeXt,avg,Derma,K=5,0.4830
ConvNeXt,avg,Derma,K=7,0.6688
ConvNeXt,avg,Derma,Avg,0.4828
ConvNeXt,avg,Organ-C,K=3,0.1037
ConvNeXt,avg,Organ-C,K=5,0.1218
ConvNeXt,avg,Organ-C,K=7,0.0944
ConvNeXt,avg,Organ-C,Avg,0.1066
ConvNeXt,avg,Organ-S,K=3,0.1308
ConvNeXt,avg,Organ-S,K=5,0.1035
ConvNeXt,avg,Organ-S,K=7,0.1416
ConvNeXt,avg,Organ-S,Avg,0.1253
ConvNeXt,avg,Ultrasound,K=3,0.1506
ConvNeXt,avg,Ultrasound,K=5,0.1506
ConvNeXt,avg,Ultrasound,K=7,0.1252
ConvNeXt,avg,Ultrasound,Avg,0.1421
ConvNeXt,ties,Blood,K=3,0.1715
ConvNeXt,ties,Blood,K=5,0.1214
ConvNeXt,ties,Blood,K=7,0.1524
ConvNeXt,ties,Blood,Avg,0.1484
ConvNeXt,ties,Derma,K=3,0.2966
ConvNeXt,ties,Derma,K=5,0.1797
ConvNeXt,ties,Derma,K=7,0.2713
ConvNeXt,ties,Derma,Avg,0.2492
ConvNeXt,ties,Organ-C,K=3,0.1217
ConvNeXt,ties,Organ-C,K=5,0.0786
ConvNeXt,ties,Organ-C,K=7,0.0716
ConvNeXt,ties,Organ-C,Avg,0.0906
ConvNeXt,ties,Organ-S,K=3,0.1123
ConvNeXt,ties,Organ-S,K=5,0.0761
ConvNeXt,ties,Organ-S,K=7,0.0796
ConvNeXt,ties,Organ-S,Avg,0.0893
ConvNeXt,ties,Ultrasound,K=3,0.1518
ConvNeXt,ties,Ultrasound,K=5,0.1456
ConvNeXt,ties,Ultrasound,K=7,0.1291
ConvNeXt,ties,Ultrasound,Avg,0.1422
ConvNeXt,dare_linear,Blood,K=3,0.1756
ConvNeXt,dare_linear,Blood,K=5,0.1122
ConvNeXt,dare_linear,Blood,K=7,0.1345
ConvNeXt,dare_linear,Blood,Avg,0.1408
