k,received_client_ids,acc,macro_f1,loss,num_samples,amp_enabled
1,[0],0.07132417421806489,0.016643928363919258,7.4424906465540985,3421,False
2,"[0, 1]",0.0710318620286466,0.016580240800976753,2.1410660797376724,3421,False
3,"[0, 1, 2]",0.09090909090909091,0.02083333395421505,3.1069598631425337,3421,False
4,"[0, 1, 2, 3]",0.1373867290266004,0.03019789233803749,2.97745682593153,3421,False
5,"[0, 1, 2, 3, 4]",0.1373867290266004,0.03019789233803749,2.6651621679575324,3421,False
6,"[0, 1, 2, 3, 4, 5]",0.1373867290266004,0.03019789233803749,2.3717782719028655,3421,False
7,"[0, 1, 2, 3, 4, 5, 6]",0.1373867290266004,0.03019789233803749,2.443695467001372,3421,False
