client_id,classes,available_num_samples,sampled_num_samples,sampled_class_counts,best_val_acc,source_test_acc,source_test_bacc,source_test_pred_counts,public_test_acc,public_test_bacc,public_test_pred_counts
0,"[3, 4, 0]",1087,240,"{""3"": 80, ""4"": 80, ""0"": 80}",0.130608,0.128678,0.350887,"[301, 0, 0, 643, 1061, 0, 0]",0.192701,0.236549,"[85, 0, 0, 367, 233, 0, 0]"
1,"[2, 1]",1128,160,"{""2"": 80, ""1"": 80}",0.142572,0.143142,0.250536,"[0, 209, 1796, 0, 0, 0, 0]",0.173723,0.157734,"[0, 81, 604, 0, 0, 0, 0]"
2,"[6, 5]",4792,160,"{""6"": 80, ""5"": 80}",0.677966,0.676808,0.279510,"[0, 0, 0, 0, 0, 1929, 76]",0.214599,0.237759,"[0, 0, 0, 0, 0, 570, 115]"
