model,split,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,mean_confidence,mean_top1_top2_margin,pred_counts,support
client_0,source_test,0.128678,0.350887,0.092262,0.529177,3,4,0.833374,2.930406,"[301, 0, 0, 643, 1061, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_0,public_test,0.192701,0.236549,0.111904,0.535766,3,3,0.747424,1.855896,"[85, 0, 0, 367, 233, 0, 0]","[128, 128, 103, 71, 81, 101, 73]"
client_1,source_test,0.143142,0.250536,0.108015,0.895761,2,2,0.940281,4.460448,"[0, 209, 1796, 0, 0, 0, 0]","[66, 103, 220, 23, 223, 1341, 29]"
client_1,public_test,0.173723,0.157734,0.074090,0.881752,2,2,0.866587,2.742607,"[0, 81, 604, 0, 0, 0, 0]","[128, 128, 103, 71, 81, 101, 73]"
client_2,source_test,0.676808,0.279510,0.192311,0.962095,2,5,0.974799,5.999895,"[0, 0, 0, 0, 0, 1929, 76]","[66, 103, 220, 23, 223, 1341, 29]"
client_2,public_test,0.214599,0.237759,0.122761,0.832117,2,5,0.877341,3.039577,"[0, 0, 0, 0, 0, 570, 115]","[128, 128, 103, 71, 81, 101, 73]"
avg,source_test,0.449875,0.403608,0.325453,0.430424,7,5,0.225150,0.204010,"[284, 146, 410, 34, 230, 863, 38]","[66, 103, 220, 23, 223, 1341, 29]"
avg,public_test,0.188321,0.182572,0.179877,0.392701,7,2,0.204216,0.159405,"[157, 51, 269, 61, 9, 110, 28]","[128, 128, 103, 71, 81, 101, 73]"
