tau,lambda=3.75,lambda=4.00,lambda=4.25,lambda=4.50,lambda=4.75,lambda=5.00,lambda=5.25,lambda=5.50,lambda=5.75,lambda=6.00
1.50,0.6181069553848394,0.6182053811745134,0.618169953060598,0.6180810099783328,0.6181307310903876,0.6177954280536153,0.6176870330406609,0.6169648375042182,0.6163077015185001,0.615420957966792
2.00,0.6193070593180623,0.6198049784332748,0.6202128904733103,0.6205088251071126,0.6208654740180566,0.6209296643068226,0.621321447929095,0.6211189185071737,0.6210837579022735,0.6207329200311656
2.50,0.6193070593180623,0.6198049784332748,0.6202128904733103,0.6205088251071126,0.6208654740180566,0.6209296643068226,0.621321447929095,0.6211189185071737,0.6210837579022735,0.6207329200311656
3.00,0.6172295975617867,0.6180468354641178,0.618806211582291,0.6192576971986703,0.6200586360766108,0.6204048293682464,0.621153122083815,0.621468836018288,0.621928960266137,0.622006381044611
3.50,0.6172295975617867,0.6180559744503219,0.618806211582291,0.619270940114497,0.6200586360766108,0.6204122674294819,0.621153122083815,0.621468836018288,0.621928960266137,0.622006381044611
