module,x_symbol,x_value,curve_symbol,curve_value,root,raw_cells,raw_mean_acc,client_average_cells,client_average_mean_acc
diagnostic prototype reconstruction,s,21.25,gamma,0.45,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p45_s_21p25,180,0.6205709665722933,60,0.6205709665722933
diagnostic prototype reconstruction,s,22.5,gamma,0.45,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p45_s_22p5,180,0.6205063663012611,60,0.6205063663012611
diagnostic prototype reconstruction,s,23.75,gamma,0.45,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p45_s_23p75,180,0.6201683336977563,60,0.6201683336977563
diagnostic prototype reconstruction,s,25.0,gamma,0.45,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p45_s_25,180,0.6196761033347736,60,0.6196761033347736
diagnostic prototype reconstruction,s,13.75,gamma,0.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p50_s_13p75,180,0.6215538349016985,60,0.6215538349016985
diagnostic prototype reconstruction,s,15.0,gamma,0.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p50_s_15,180,0.6214096080281553,60,0.6214096080281553
diagnostic prototype reconstruction,s,16.25,gamma,0.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p50_s_16p25,180,0.621559929927947,60,0.621559929927947
diagnostic prototype reconstruction,s,17.5,gamma,0.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p50_s_17p5,180,0.6218861126813671,60,0.6218861126813671
diagnostic prototype reconstruction,s,18.75,gamma,0.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p50_s_18p75,180,0.6222135652633913,60,0.6222135652633913
diagnostic prototype reconstruction,s,20.0,gamma,0.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p50_s_20,180,0.621889735265022,60,0.621889735265022
diagnostic prototype reconstruction,s,21.25,gamma,0.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p50_s_21p25,180,0.6214547874219183,60,0.6214547874219183
