task_type,dataset,model,clip_model,num_clients,beta,seed,split,baseline,client_id,accuracy,balanced_accuracy,macro_f1,mean_precision,loss,num_samples,majority_prediction_ratio,effective_predicted_classes,prediction_entropy,per_class_recall,per_class_precision,per_class_f1,class_support,predicted_class_counts,confusion_matrix_json,seconds,updated_at
small,dermamnist_224,resnet,,3,0.01,42,test,single_client_1,1,0.6812967581047381,0.3110735082500877,0.25200544996306157,0.26020064365734313,2.7254014621649003,2005,0.8748129675810474,1.4999997427164629,0.4054649365857915,0.757576 0.000000 0.000000 0.000000 0.000000 0.971663 0.448276,0.211864 0.000000 0.000000 0.000000 0.000000 0.742873 0.866667,0.331126 0.000000 0.000000 0.000000 0.000000 0.842003 0.590909,66 103 220 23 223 1341 29,236 0 0 0 0 1754 15,"[[50,0,0,0,0,16,0],[27,0,0,0,0,76,0],[69,0,0,0,0,151,0],[5,0,0,0,0,18,0],[47,0,0,0,0,175,1],[37,0,0,0,0,1303,1],[1,0,0,0,0,15,13]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,single_client_2,2,0.10972568578553615,0.14285714285714285,0.028263103802672145,0.01568291987453664,10.603995869700748,2005,0.9995012468827931,1.0043000667097226,0.00429084784125312,0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.109780 0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.197842 0.000000 0.000000 0.000000 0.000000,66 103 220 23 223 1341 29,0 0 2004 1 0 0 0,"[[0,0,66,0,0,0,0],[0,0,102,1,0,0,0],[0,0,220,0,0,0,0],[0,0,23,0,0,0,0],[0,0,223,0,0,0,0],[0,0,1341,0,0,0,0],[0,0,29,0,0,0,0]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,best_single_client,1,0.6812967581047381,0.3110735082500877,0.25200544996306157,0.26020064365734313,2.7254014621649003,2005,0.8748129675810474,1.4999997427164629,0.4054649365857915,0.757576 0.000000 0.000000 0.000000 0.000000 0.971663 0.448276,0.211864 0.000000 0.000000 0.000000 0.000000 0.742873 0.866667,0.331126 0.000000 0.000000 0.000000 0.000000 0.842003 0.590909,66 103 220 23 223 1341 29,236 0 0 0 0 1754 15,"[[50,0,0,0,0,16,0],[27,0,0,0,0,76,0],[69,0,0,0,0,151,0],[5,0,0,0,0,18,0],[47,0,0,0,0,175,1],[37,0,0,0,0,1303,1],[1,0,0,0,0,15,13]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,mean_single_client,,0.28096425602660013,0.22029652831838237,0.10353352487998739,0.0975731832510017,6.370524636488207,2005,0.8161263507896924,1.4941324214216631,0.36396376193215985,,,,,,,52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,prob_ensemble,,0.4768079800498753,0.2490506281488047,0.2097620787237444,0.4050381188033222,1.9548995096487298,2005,0.5052369077306733,2.47933786642699,0.9079915351849349,0.090909 0.038835 0.822727 0.086957 0.000000 0.565996 0.137931,0.272727 0.500000 0.178677 0.028169 0.000000 0.855693 1.000000,0.136364 0.072072 0.293593 0.042553 0.000000 0.681329 0.242424,66 103 220 23 223 1341 29,22 8 1013 71 0 887 4,"[[6,0,60,0,0,0,0],[4,4,88,1,0,6,0],[5,0,181,0,0,34,0],[1,0,18,2,0,2,0],[4,0,133,4,0,82,0],[2,3,513,64,0,759,0],[0,1,20,0,0,4,4]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,logit_ensemble,,0.2977556109725686,0.2243215408188291,0.16363851455446035,0.3435089593832127,1.8377003657847568,2005,0.6099750623441397,2.6679654300573192,0.9813161707195511,0.075758 0.000000 0.904545 0.130435 0.000000 0.287099 0.172414,0.333333 0.000000 0.162715 0.008982 0.000000 0.899533 1.000000,0.123457 0.000000 0.275814 0.016807 0.000000 0.435274 0.294118,66 103 220 23 223 1341 29,15 0 1223 334 0 428 5,"[[5,0,58,3,0,0,0],[3,0,96,3,0,1,0],[2,0,199,8,0,11,0],[1,0,19,3,0,0,0],[2,0,165,27,0,29,0],[2,0,672,282,0,385,0],[0,0,14,8,0,2,5]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,oracle_any_correct,,0.8428927680798005,0.6608895849551472,0.5663653840784612,0.5642351181564067,,2005,0.6693266832917706,2.987822797475162,1.094544960784788,0.757576 0.883495 1.000000 0.565217 0.000000 0.971663 0.448276,0.568182 0.459596 0.916667 0.105691 0.000000 0.970939 0.928571,0.649351 0.604651 0.956522 0.178082 0.000000 0.971301 0.604651,66 103 220 23 223 1341 29,88 198 240 123 0 1342 14,"[[50,4,0,0,0,12,0],[0,91,0,12,0,0,0],[0,0,220,0,0,0,0],[0,10,0,13,0,0,0],[1,91,20,96,0,15,0],[36,1,0,0,0,1303,1],[1,1,0,2,0,12,13]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,oracle_min_loss,,0.8428927680798005,0.6608895849551472,0.5663653840784612,0.5642351181564067,0.8874878157998558,2005,0.6693266832917706,2.987822797475162,1.094544960784788,0.757576 0.883495 1.000000 0.565217 0.000000 0.971663 0.448276,0.568182 0.459596 0.916667 0.105691 0.000000 0.970939 0.928571,0.649351 0.604651 0.956522 0.178082 0.000000 0.971301 0.604651,66 103 220 23 223 1341 29,88 198 240 123 0 1342 14,"[[50,4,0,0,0,12,0],[0,91,0,12,0,0,0],[0,0,220,0,0,0,0],[0,10,0,13,0,0,0],[1,91,20,96,0,15,0],[36,1,0,0,0,1303,1],[1,1,0,2,0,12,13]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.1,42,test,single_client_0,0,0.49875311720698257,0.29969067701353574,0.20148207717867456,0.18771061512219372,1.9971681361781095,2005,0.4763092269326683,3.0913731204952923,1.1286153677688928,0.000000 0.834951 0.490909 0.173913 0.000000 0.598061 0.000000,0.000000 0.206235 0.184615 0.083333 0.000000 0.839791 0.000000,0.000000 0.330769 0.268323 0.112676 0.000000 0.698606 0.000000,66 103 220 23 223 1341 29,0 417 585 48 0 955 0,"[[0,49,7,4,0,6,0],[0,86,3,2,0,12,0],[0,82,108,4,0,26,0],[0,7,8,4,0,4,0],[0,51,76,4,0,92,0],[0,131,379,29,0,802,0],[0,11,4,1,0,13,0]]",52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,single_client_1,1,0.6384039900249376,0.2364720753787021,0.18310965393586254,0.24628810583356037,2.7248247484316552,2005,0.7845386533665836,1.805306984139618,0.5907306516394253,0.090909 0.640777 0.027273 0.000000 0.000000 0.896346 0.000000,0.333333 0.165000 0.461538 0.000000 0.000000 0.764145 0.000000,0.142857 0.262425 0.051502 0.000000 0.000000 0.824983 0.000000,66 103 220 23 223 1341 29,18 400 13 0 1 1573 0,"[[6,47,0,0,0,13,0],[0,66,0,0,0,37,0],[5,81,6,0,0,128,0],[0,6,0,0,0,17,0],[5,68,2,0,0,148,0],[2,131,5,0,1,1202,0],[0,1,0,0,0,28,0]]",52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,single_client_2,2,0.024438902743142144,0.2264815644125989,0.030824109835446922,0.02656129226418359,3.0136972327482074,2005,0.7197007481296758,2.2657596967168634,0.8179101096376769,0.196970 0.000000 0.009091 1.000000 0.000000 0.000000 0.379310,0.036415 0.000000 0.071429 0.015939 0.000000 0.000000 0.062147,0.061466 0.000000 0.016129 0.031378 0.000000 0.000000 0.106796,66 103 220 23 223 1341 29,357 0 28 1443 0 0 177,"[[13,0,2,51,0,0,0],[16,0,0,83,0,0,4],[33,0,2,181,0,0,4],[0,0,0,23,0,0,0],[75,0,3,116,0,0,29],[219,0,20,973,0,0,129],[1,0,1,16,0,0,11]]",52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,best_single_client,1,0.6384039900249376,0.2364720753787021,0.18310965393586254,0.24628810583356037,2.7248247484316552,2005,0.7845386533665836,1.805306984139618,0.5907306516394253,0.090909 0.640777 0.027273 0.000000 0.000000 0.896346 0.000000,0.333333 0.165000 0.461538 0.000000 0.000000 0.764145 0.000000,0.142857 0.262425 0.051502 0.000000 0.000000 0.824983 0.000000,66 103 220 23 223 1341 29,18 400 13 0 1 1573 0,"[[6,47,0,0,0,13,0],[0,66,0,0,0,37,0],[5,81,6,0,0,128,0],[0,6,0,0,0,17,0],[5,68,2,0,0,148,0],[2,131,5,0,1,1202,0],[0,1,0,0,0,28,0]]",52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,mean_single_client,,0.38719866999168745,0.25421477226827893,0.13847194698332801,0.1535200044066459,2.5785633724526575,2005,0.6601828761429759,2.3874799337839248,0.8457520430153317,,,,,,,52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,prob_ensemble,,0.6329177057356609,0.2606293599973147,0.20926336221469444,0.22829533794551282,1.3965648165962048,2005,0.7346633416458853,2.15670125563083,0.7685798578756706,0.106061 0.718447 0.136364 0.000000 0.000000 0.863535 0.000000,0.368421 0.189258 0.254237 0.000000 0.000000 0.786151 0.000000,0.164706 0.299595 0.177515 0.000000 0.000000 0.823028 0.000000,66 103 220 23 223 1341 29,19 391 118 4 0 1473 0,"[[7,47,1,0,0,11,0],[0,74,1,0,0,28,0],[6,82,30,1,0,101,0],[0,6,0,0,0,17,0],[5,60,22,1,0,135,0],[1,117,63,2,0,1158,0],[0,5,1,0,0,23,0]]",52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,logit_ensemble,,0.6443890274314215,0.25663909478009955,0.2003444595883402,0.23725423422843722,1.4271648302339854,2005,0.7551122194513715,1.9837744968824185,0.6850013415572425,0.075758 0.737864 0.095455 0.000000 0.000000 0.887397 0.000000,0.384615 0.185819 0.304348 0.000000 0.000000 0.785997 0.000000,0.126582 0.296875 0.145329 0.000000 0.000000 0.833625 0.000000,66 103 220 23 223 1341 29,13 409 69 0 0 1514 0,"[[5,49,1,0,0,11,0],[1,76,0,0,0,26,0],[3,88,21,0,0,108,0],[0,6,0,0,0,17,0],[2,66,16,0,0,139,0],[2,119,30,0,0,1190,0],[0,5,1,0,0,23,0]]",52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,oracle_any_correct,,0.7436408977556109,0.5599009635158451,0.41257833955085854,0.4063824571122837,,2005,0.6349127182044888,3.24968616729763,1.1785584277706302,0.227273 0.883495 0.504545 1.000000 0.000000 0.924683 0.379310,0.182927 0.486631 0.816176 0.079310 0.000000 0.974077 0.305556,0.202703 0.627586 0.623596 0.146965 0.000000 0.948738 0.338462,66 103 220 23 223 1341 29,82 187 136 290 1 1273 36,"[[15,1,2,48,0,0,0],[0,91,0,4,0,7,1],[3,31,111,67,0,7,1],[0,0,0,23,0,0,0],[62,5,5,109,0,19,23],[1,59,17,23,1,1240,0],[1,0,1,16,0,0,11]]",52.69,2026-07-03T15:05:58
small,dermamnist_224,resnet,,3,0.1,42,test,oracle_min_loss,,0.741645885286783,0.5472655426516526,0.4097911758488597,0.4042561901073393,0.7074498126631663,2005,0.6344139650872818,3.254169651901673,1.1799371438550224,0.227273 0.883495 0.504545 0.913043 0.000000 0.923192 0.379310,0.182927 0.478947 0.816176 0.072917 0.000000 0.973270 0.305556,0.202703 0.621160 0.623596 0.135048 0.000000 0.947570 0.338462,66 103 220 23 223 1341 29,82 190 136 288 1 1272 36,"[[15,1,2,48,0,0,0],[0,91,0,4,0,7,1],[3,31,111,67,0,7,1],[0,1,0,21,0,1,0],[62,5,5,109,0,19,23],[1,61,17,23,1,1238,0],[1,0,1,16,0,0,11]]",52.69,2026-07-03T15:05:58
