k,received_client_ids,acc,loss,num_samples,amp_enabled
1,[0],0.17363344051446947,6.048185707427925,3421,False
2,"[0, 1]",0.0710318620286466,3.745611249128652,3421,False
3,"[0, 1, 2]",0.07366267173341129,3.270346315239508,3421,False
4,"[0, 1, 2, 3]",0.1660333235895937,2.928923139652987,3421,False
5,"[0, 1, 2, 3, 4]",0.09938614440222157,2.640119197110062,3421,False
6,"[0, 1, 2, 3, 4, 5]",0.1172171879567378,2.2748237066678714,3421,False
7,"[0, 1, 2, 3, 4, 5, 6]",0.09383221280327389,2.369280335917803,3421,False
